District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Nalgonda,81.0,0.0,0.0,2284.39,12.06,20.38,1764.0,29.88,11.23,752.41,0.32,0.58,0.0,0.0,0.0,54.62,33.15,0.0,5963.84,1462.89,7426.73,544.7,2189.62,10161.05,3500.61,7762.46,55.14,0.0,59.19,266.03,55.23,35.8,0.0,14077.91
Narayanpet,6.0,0.0,0.0,154.05,1.63,33.82,263.0,3.78,19.69,75.22,0.01,0.09,0.0,0.0,0.0,11.54,9.14,0.0,2324.77,553.35,2878.12,110.82,172.15,3161.09,252.16,1211.01,35.06,0.0,4.82,19.2,11.24,5.33,0.0,3453.84
Nirmal,14.0,0.0,0.0,770.2,2.34,5.71,532.0,12.88,14.91,273.82,0.0,0.0,13.0,0.0,0.0,40.48,15.2,0.0,3173.34,735.87,3909.21,314.86,207.66,4431.73,935.33,2578.22,46.55,0.0,40.97,86.4,22.93,20.85,0.0,5538.21
Nizamabad,98.0,0.0,0.0,2198.85,14.4,17.14,2708.0,57.2,32.38,1033.37,5.71,16.02,2.0,0.05,0.26,172.42,67.21,0.0,4743.59,1963.4,6706.99,321.75,1715.86,8744.6,2344.7,5577.95,48.91,0.0,84.02,176.65,35.64,19.25,0.0,11404.86
Peddapalli,15.0,0.0,0.0,846.5,8.95,36.86,1302.0,10.84,20.07,290.69,0.0,0.0,312.0,0.39,2.85,92.87,51.63,0.0,2094.8,756.46,2851.26,57.98,420.31,3329.55,1163.98,2039.03,44.29,0.0,24.28,54.01,18.26,13.7,0.0,4603.78
Rajanna Sircilla,4.0,0.0,0.0,394.6,2.83,10.47,687.0,14.03,38.33,382.85,0.0,0.0,608.0,1.45,5.16,98.93,36.62,0.0,1681.51,485.89,2167.4,174.28,512.86,2854.54,559.35,1399.77,39.8,2.36,27.04,36.6,9.37,28.12,0.0,3517.38
Ranga Reddy,271.0,89.14,0.0,9533.18,40.49,37.32,6997.0,300.13,25.32,3879.6,1.02,4.45,34.0,0.21,3.89,211.0,136.25,0.0,4035.59,2889.24,6924.83,518.09,1340.15,8783.07,15086.05,12709.57,50.45,0.0,108.5,1185.3,22.91,5.4,0.0,25191.23
Sangareddy,59.0,0.0,0.0,2260.29,15.74,32.42,2637.0,59.14,19.02,1652.58,0.19,0.37,0.0,0.0,0.0,234.71,93.8,0.0,3687.31,1358.78,5046.09,158.1,851.69,6055.88,3081.27,4193.72,43.88,0.8,48.55,310.9,51.43,7.44,0.0,9556.27
Siddipet,21.0,0.0,0.0,676.35,13.36,71.41,2073.0,23.86,10.97,463.35,0.38,0.71,128.0,0.07,2.19,235.56,90.62,0.0,3965.61,1246.78,5212.39,187.03,819.53,6218.95,1090.07,3207.92,42.2,0.0,18.71,217.44,53.44,3.19,0.0,7601.8
Suryapet,99.0,0.0,0.0,1194.43,10.69,29.69,1638.0,27.65,15.36,603.68,0.32,0.89,3.0,0.06,0.09,55.03,37.6,0.0,3186.24,1165.87,4352.11,332.99,1616.11,6301.21,1624.49,4706.62,57.08,0.0,36.0,180.03,36.11,68.11,0.0,8245.95
Vikarabad,31.0,0.0,0.0,329.16,2.5,10.42,476.0,7.43,0.63,149.48,0.0,0.0,0.0,0.0,0.0,52.2,22.38,0.0,3794.37,1031.03,4825.4,99.3,706.62,5631.32,565.07,1945.19,26.03,0.0,24.0,1175.98,38.03,37.74,0.0,7472.14
Wanaparthy,3.0,0.0,0.0,285.39,6.06,26.42,1543.0,5.75,5.13,152.57,0.0,0.0,0.0,0.0,0.0,31.25,15.88,0.0,2736.26,665.16,3401.42,111.72,379.86,3893.0,353.85,1463.12,33.26,0.0,22.94,111.99,10.78,6.53,0.0,4399.09
Warangal,31.0,0.0,0.0,1682.07,13.24,45.84,2034.0,34.22,48.11,318.05,0.1,1.31,11.0,0.03,4.55,114.51,59.29,0.0,1968.02,1342.51,3310.53,259.92,695.38,4265.83,997.73,3008.37,56.0,0.0,28.88,71.13,7.65,0.66,0.0,5371.88
Yadadri Bhuvanagiri,64.0,0.0,0.0,541.13,3.89,22.17,850.0,9.5,13.54,227.7,4.45,37.84,0.0,0.0,0.0,21.85,11.91,0.0,2309.49,784.78,3094.27,263.92,738.77,4096.96,762.19,2430.53,48.87,0.0,17.55,70.17,11.76,15.05,0.0,4973.68
