District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Kumuram Bheem Asifabad,51830.0,7.34,111.7,61.07,0.58,100.0,12.0,19.18,133.38,121.38,47.81,68.68,9694.0,81.78,86.24,497.58,156.69,84.26,6.57,0.58,14.38,69.61,94.83,185.97
Mahabubabad,260354.0,6.24,145.1,266.65,3.75,69.96,145.0,66.55,62.45,369.98,82.61,77.44,46122.0,234.01,75.63,1308.68,393.16,73.86,4.3,5.36,106.57,106.67,309.43,532.33
Mahabubnagar,256983.0,24.8,137.0,242.65,17.01,84.92,447.0,199.76,70.65,1893.89,289.51,73.7,104688.0,514.46,62.13,4914.89,1045.54,67.82,18.1,20.03,282.76,392.81,827.99,1541.69
Mancherial,108884.0,6.91,135.0,142.68,9.11,100.6,186.0,164.84,79.19,1355.49,309.6,57.12,78467.0,486.31,76.41,3953.56,976.77,69.73,5.12,9.06,208.15,542.01,636.44,1400.78
Medak,239434.0,5.74,146.4,258.12,3.16,38.77,108.0,80.61,55.65,711.62,96.9,60.48,70122.0,334.72,69.02,2078.52,521.13,64.97,3.92,8.15,144.86,160.22,484.95,802.1
Medchal Malkajgiri,155580.0,169.19,88.48,214.14,196.3,85.6,4502.0,6334.22,80.74,45883.79,5265.82,69.19,1416024.0,11063.81,81.93,94935.23,23029.34,78.38,191.22,229.33,7844.79,7610.84,13504.6,29380.8
Mulugu,78213.0,0.34,0.0,105.23,0.53,46.49,20.0,20.85,58.06,93.89,31.44,88.27,17734.0,79.74,57.72,444.26,132.9,63.04,0.0,1.14,35.91,35.62,138.14,210.81
Nagarkurnool,316422.0,11.33,182.7,358.93,5.72,81.25,166.0,76.85,80.4,513.82,97.98,66.73,60011.0,351.09,74.68,1829.89,542.97,74.82,6.2,7.04,95.59,146.82,470.1,725.75
Nalgonda,600532.0,39.54,202.7,726.42,27.79,58.44,898.0,339.8,79.59,2660.65,385.76,75.55,193826.0,1471.97,83.08,7962.16,2264.86,81.58,19.51,47.55,426.95,510.63,1771.69,2776.33
Narayanpet,167275.0,0.18,900.0,173.3,1.63,47.94,50.0,24.68,70.86,159.73,30.95,91.35,20047.0,90.66,67.22,605.01,148.1,71.54,0.02,3.4,34.83,33.88,134.88,207.01
Nirmal,152720.0,10.1,219.1,202.41,5.87,52.84,169.0,87.93,77.55,642.47,195.22,47.24,38369.0,267.71,83.5,2091.06,566.83,65.68,4.61,11.11,113.39,413.26,320.62,862.99
Nizamabad,462940.0,34.62,249.8,507.68,30.07,76.42,879.0,388.45,80.65,3096.2,619.63,74.16,152197.0,976.19,77.96,8009.82,2048.96,78.13,13.86,39.35,481.66,835.55,1252.23,2622.65
Peddapalli,170189.0,13.14,60.64,218.27,9.93,56.52,304.0,125.8,71.38,1002.87,224.4,65.67,75466.0,420.15,68.79,3069.54,793.42,67.93,21.67,17.57,176.25,341.71,610.77,1167.97
Rajanna Sircilla,118474.0,6.03,250.2,195.52,6.43,69.97,209.0,71.58,51.4,594.19,113.06,42.42,53442.0,258.27,82.38,1693.55,455.37,62.3,2.41,9.19,139.26,266.54,313.52,730.92
Ranga Reddy,398891.0,366.51,91.88,520.34,222.61,73.28,5169.0,4281.21,79.17,27351.79,3075.63,94.83,791831.0,20993.74,128.84,72712.95,28939.7,112.83,398.92,303.79,5407.54,3243.31,16294.8,25648.3
Sangareddy,315701.0,22.49,235.7,338.64,25.48,82.03,673.0,2024.56,77.63,12457.1,657.77,66.1,187171.0,1448.76,34.17,19709.14,4179.06,53.01,9.54,31.06,2608.09,995.18,4239.53,7883.4
Siddipet,307589.0,60.83,169.1,321.58,9.56,59.9,289.0,190.67,77.9,1311.69,152.18,79.96,73074.0,354.32,67.19,3135.86,767.56,75.67,35.98,15.96,244.77,190.32,527.35,1014.38
Suryapet,462917.0,18.79,192.5,588.83,19.48,67.76,648.0,225.79,72.87,1911.18,175.7,82.3,94244.0,554.01,64.29,4405.87,993.77,69.81,9.76,28.75,309.84,213.48,861.67,1423.5
Vikarabad,251430.0,2.01,100.5,279.27,4.55,114.6,87.0,45.31,69.58,364.58,142.41,79.06,100750.0,304.19,77.92,1639.26,498.47,77.69,2.0,3.97,65.12,180.12,390.41,641.62
Wanaparthy,178183.0,1.4,77.35,170.58,3.43,63.87,123.0,56.39,80.42,487.88,64.82,77.36,28200.0,136.12,56.82,1255.39,262.16,65.44,1.81,5.37,70.12,83.79,239.55,400.64
Warangal,241220.0,5.79,21.57,258.86,33.62,129.0,620.0,233.81,77.42,1596.24,253.89,82.66,86835.0,774.63,71.1,4966.6,1301.74,74.32,26.84,26.06,302.0,307.15,1089.44,1751.49
Yadadri Bhuvanagiri,240573.0,8.22,96.14,253.87,10.81,92.63,256.0,108.91,69.48,813.71,127.4,87.43,68755.0,294.61,66.43,2314.13,549.95,71.78,8.55,11.67,156.75,145.72,443.52,766.21
