district,non_priority_sector_agriculture_target,achie,achie,education_target,achie,achie,housing_target,achie,achie,personal_loan_target,achie,achie,other_target,achie,achie,total_non_priority_target,achie,achie
Madhubani,0.00,16.88,16.88,21.08,16.88,16.88,84.44,16.88,16.88,548.76,16.88,16.88,1456.32,16.88,16.88,2110.60,16.88,16.88
Munger,0.00,18.71,18.71,11.75,18.71,18.71,47.09,18.71,18.71,306.06,18.71,18.71,812.20,18.71,18.71,1177.10,18.71,18.71
Muzaffarpur,0.00,29.23,29.23,48.14,29.23,29.23,192.65,29.23,29.23,1252.05,29.23,29.23,3322.79,29.23,29.23,4815.63,29.23,29.23
Nalanda,0.00,20.28,20.28,18.06,20.28,20.28,72.31,20.28,20.28,470.06,20.28,20.28,1247.43,20.28,20.28,1807.86,20.28,20.28
Nawada,0.00,18.27,18.27,10.49,18.27,18.27,41.96,18.27,18.27,272.73,18.27,18.27,723.81,18.27,18.27,1048.99,18.27,18.27
Pashchim Champaran,0.00,22.55,22.55,18.88,22.55,22.55,75.24,22.55,22.55,490.15,22.55,22.55,1300.75,22.55,22.55,1885.02,22.55,22.55
Patna,0.00,48.34,48.34,184.02,48.34,48.34,734.94,48.34,48.34,4776.84,48.34,48.34,12677.00,48.34,48.34,18372.80,48.34,48.34
Purbi Champaran,0.00,24.83,24.83,28.16,24.83,24.83,112.77,24.83,24.83,732.98,24.83,24.83,1945.19,24.83,24.83,2819.10,24.83,24.83
Purnia,0.00,22.89,22.89,22.92,22.89,22.89,91.77,22.89,22.89,596.40,22.89,22.89,1582.82,22.89,22.89,2293.91,22.89,22.89
Rohtas,0.00,18.05,18.05,18.70,18.05,18.05,74.83,18.05,18.05,486.32,18.05,18.05,1290.58,18.05,18.05,1870.43,18.05,18.05
Saharsa,0.00,21.31,21.31,10.05,21.31,21.31,40.25,21.31,21.31,261.47,21.31,21.31,693.88,21.31,21.31,1005.65,21.31,21.31
Samastipur,0.00,21.14,21.14,24.31,21.14,21.14,97.16,21.14,21.14,631.49,21.14,21.14,1675.86,21.14,21.14,2428.82,21.14,21.14
Saran,0.00,19.54,19.54,23.00,19.54,19.54,92.03,19.54,19.54,598.10,19.54,19.54,1587.28,19.54,19.54,2300.41,19.54,19.54
Sheikhpura,0.00,15.19,15.19,4.70,15.19,15.19,18.82,15.19,15.19,122.11,15.19,15.19,324.10,15.19,15.19,469.73,15.19,15.19
Sheohar,0.00,10.82,10.82,3.98,10.82,10.82,15.91,10.82,10.82,103.28,10.82,10.82,274.11,10.82,10.82,397.28,10.82,10.82
Sitamarhi,0.00,19.55,19.55,13.94,19.55,19.55,55.66,19.55,19.55,361.82,19.55,19.55,960.24,19.55,19.55,1391.66,19.55,19.55
Siwan,0.00,17.23,17.23,19.41,17.23,17.23,77.67,17.23,17.23,504.77,17.23,17.23,1339.64,17.23,17.23,1941.49,17.23,17.23
Supaul,0.00,18.04,18.04,11.71,18.04,18.04,46.90,18.04,18.04,304.93,18.04,18.04,809.25,18.04,18.04,1172.79,18.04,18.04
Vaishali,0.00,20.14,20.14,23.29,20.14,20.14,92.99,20.14,20.14,605.02,20.14,20.14,1605.72,20.14,20.14,2327.02,20.14,20.14
