district,priority_sector_agriculture_target,achie,achie,msme_target,achie,achie,export_credit_target,achie,achie,education_target,achie,achie,housing_target,achie,achie,social_target,achie,achie,renewable_energy_target,achie,achie,other_target,achie,achie,total_priority_sector_target,achie,achie
Purnia,3387.02,24.62,24.62,3136.49,24.62,24.62,0.00,24.62,24.62,148.75,24.62,24.62,366.18,24.62,24.62,277.28,24.62,24.62,50.24,24.62,24.62,440.13,24.62,24.62,7806.09,24.62,24.62
Rohtas,3236.04,13.32,13.32,2796.50,13.32,13.32,0.00,13.32,13.32,85.00,13.32,13.32,164.90,13.32,13.32,176.37,13.32,13.32,15.10,13.32,13.32,96.13,13.32,13.32,6570.04,13.32,13.32
Saharsa,1691.67,17.11,17.11,1318.05,17.11,17.11,0.00,17.11,17.11,33.57,17.11,17.11,55.25,17.11,17.11,6.95,17.11,17.11,73.70,17.11,17.11,80.16,17.11,17.11,3259.35,17.11,17.11
Samastipur,4184.91,16.85,16.85,3517.88,16.85,16.85,0.00,16.85,16.85,140.63,16.85,16.85,232.56,16.85,16.85,105.45,16.85,16.85,10.16,16.85,16.85,183.43,16.85,16.85,8375.02,16.85,16.85
Saran,3851.56,11.81,11.81,3346.16,11.81,11.81,0.00,11.81,11.81,251.60,11.81,11.81,646.00,11.81,11.81,319.77,11.81,11.81,44.54,11.81,11.81,300.71,11.81,11.81,8760.34,11.81,11.81
Sheikhpura,792.36,8.75,8.75,693.46,8.75,8.75,0.00,8.75,8.75,23.58,8.75,8.75,38.67,8.75,8.75,25.78,8.75,8.75,10.91,8.75,8.75,49.95,8.75,8.75,1634.71,8.75,8.75
Sheohar,687.83,8.52,8.52,586.50,8.52,8.52,0.00,8.52,8.52,15.13,8.52,8.52,26.90,8.52,8.52,13.30,8.52,8.52,1.91,8.52,8.52,60.00,8.52,8.52,1391.57,8.52,8.52
Sitamarhi,2335.03,15.66,15.66,2008.13,15.66,15.66,0.00,15.66,15.66,43.18,15.66,15.66,79.69,15.66,15.66,6.81,15.66,15.66,50.36,15.66,15.66,241.50,15.66,15.66,4764.70,15.66,15.66
Siwan,3667.92,16.00,16.00,2944.35,16.00,16.00,0.00,16.00,16.00,129.71,16.00,16.00,314.60,16.00,16.00,177.95,16.00,16.00,34.92,16.00,16.00,234.18,16.00,16.00,7503.63,16.00,16.00
Supaul,1681.94,12.92,12.92,1603.35,12.92,12.92,0.00,12.92,12.92,42.07,12.92,12.92,76.33,12.92,12.92,10.06,12.92,12.92,102.30,12.92,12.92,61.27,12.92,12.92,3577.32,12.92,12.92
Vaishali,3801.66,24.45,24.45,2154.60,24.45,24.45,0.00,24.45,24.45,551.88,24.45,24.45,657.00,24.45,24.45,289.27,24.45,24.45,79.19,24.45,24.45,199.92,24.45,24.45,7733.52,24.45,24.45
