District,"1 AGRICULTURE TOTAL
0/S","TOTAL
NPA",%AGE,"2 MSME TOTAL
0/S","TOTAL
NPA",%AGE,3 OPS TOTAL 0/S,"TOTAL
NPA",%AGE,4 TOTAL PRIORITY SECTOR TOTAL 0/S,"TOTAL
NPA",%AGE,"5 NPS TOTAL
0/S","TOTAL
NPA",%AGE,6 NPA IN TOTAL ADVANCE TOTAL 0/S,"TOTAL
NPA",%AGE
Jehanabad,598.86,206.48,34.48,396.23,66.89,16.88,123.11,15.09,12.26,1118.21,288.46,25.80,792,22.97,2.90,1910.03,311.43,16.30
Kaimur (Bhabua),1244.4,488.47,39.25,465.58,84.76,18.21,177.1,17.37,9.81,1887.07,590.6,31.30,924,16.98,1.84,2811.51,607.58,21.61
Katihar,2301.87,326.99,14.21,1334.23,84.84,6.36,436.74,10.88,2.49,4072.84,422.71,10.38,2319,32.63,1.41,6391.48,455.34,7.12
Khagaria,1258.39,303.27,24.10,545.4,47.77,8.76,154.56,8.85,5.73,1958.35,359.89,18.38,998,18.7,1.87,2956.44,378.59,12.81
Kishanganj,1149.04,212.76,18.52,643.98,52.61,8.17,296.46,10.93,3.69,2089.48,276.3,13.22,1208,17.01,1.41,3297.36,293.31,8.90
Lakhisarai,641.87,258.29,40.24,299.8,30.98,10.33,123.69,11.03,8.92,1065.36,300.3,28.19,722,13.24,1.83,1787.45,313.54,17.54
Madhepura,1219.66,226.67,18.58,680.93,75.22,11.05,168.69,8.74,5.18,2069.27,310.63,15.01,1219,14.58,1.20,3288.68,325.21,9.89
Madhubani,1748.88,234.11,13.39,1662.82,115.33,6.94,388.7,27.14,6.98,3800.4,376.58,9.91,2363,25.18,1.07,6163.64,401.76,6.52
Munger,616.6,220.28,35.72,537.61,87.16,16.21,234.24,12.31,5.26,1388.44,319.75,23.03,1593,28.75,1.80,2981.16,348.5,11.69
Muzaffarpur,4183.81,510.87,12.21,4043.27,278.67,6.89,1251.64,44.53,3.56,9478.73,834.07,8.80,8394,138.32,1.65,17872.76,972.39,5.44
Nalanda,1822.22,551.85,30.28,1255.95,173.49,13.81,410.74,33.48,8.15,3488.92,758.82,21.75,2191,62.96,2.87,5680.4,821.78,14.47
Nawada,1261.52,436.08,34.57,745.62,74.45,9.98,288.31,15.88,5.51,2295.44,526.41,22.93,1233,27.49,2.23,3528.84,553.9,15.70
Pashchim Champaran,2281.47,446.44,19.57,1590.83,110.63,6.95,521.65,21.76,4.17,4393.94,578.83,13.17,2391,39.44,1.65,6784.44,618.27,9.11
Patna,8814.31,907.55,10.30,15548.77,1155.69,7.43,4940.7,110.08,2.23,29303.78,2173.32,7.42,52753,631.08,1.20,82056.77,2804.4,3.42
Purbi Champaran,3820.8,688.34,18.02,2217.49,161.87,7.30,649.36,24.46,3.77,6687.65,874.67,13.08,3545,52.59,1.48,10232.47,927.26,9.06
Purnia,2650.19,473.1,17.85,2490.07,134.75,5.41,615.09,21.65,3.52,5755.35,629.5,10.94,3189,46.54,1.46,8943.91,676.04,7.56
Rohtas,2002.68,857.12,42.80,1481.48,214.6,14.49,420.31,39.36,9.36,3904.48,1111.08,28.46,2298,46,2.00,6202.68,1157.08,18.65
Saharsa,1185.41,226.07,19.07,861.63,83.11,9.65,165.7,8.96,5.41,2212.74,318.14,14.38,1354,17.65,1.30,3566.36,335.79,9.42
Samastipur,3157.27,733.52,23.23,1811.62,129.03,7.12,543.5,23.56,4.33,5512.39,886.11,16.07,3146,54.39,1.73,8658.68,940.5,10.86
Saran,2282.28,415.97,18.23,1519.75,167.41,11.02,503.15,24.66,4.90,4305.19,608.04,14.12,2787,40.42,1.45,7091.73,648.46,9.14
Sheikhpura,422.42,133.41,31.58,265.51,31.65,11.92,92.76,8.57,9.24,780.69,173.63,22.24,487,7.27,1.49,1267.24,180.9,14.28
Sheohar,419.12,75.56,18.03,177.67,31.77,17.88,45.52,2.75,6.04,642.31,110.08,17.14,314,7.02,2.24,956.74,117.1,12.24
Sitamarhi,1578.02,363.59,23.04,1272.15,97.48,7.66,290.98,16.32,5.61,3141.15,477.39,15.20,1820,26.47,1.45,4961.47,503.86,10.16
Siwan,3239.18,319.19,9.85,1522.33,119.93,7.88,552.25,22.8,4.13,5313.76,461.92,8.69,2061,39.44,1.91,7374.83,501.36,6.80
Supaul,1154.23,308.61,26.74,686,57.32,8.36,171.03,11.89,6.95,2011.26,377.82,18.79,1388,14.71,1.06,3399.66,392.53,11.55
Vaishali,5420.12,457,8.43,1648.3,131.76,7.99,502.46,28.8,5.73,7570.89,617.56,8.16,2953,54.41,1.84,10524.38,671.97,6.38
