district,priority_sector_agriculture_target,achie,achie,msme_target,achie,achie,other_priority_sector_target,achie,achie,total_priority_sector_target,achie,achie,non_priority_sector_target,achie,achie,grand_total_target,achie,achie
Muzaffarpur,5368.16,24.06,24.06,5583.63,24.06,24.06,1275.86,24.06,24.06,12227.65,24.06,24.06,4815.63,24.06,24.06,17043.28,24.06,24.06
Nalanda,3461.58,12.72,12.72,2676.51,12.72,12.72,652.18,12.72,12.72,6790.27,12.72,12.72,1807.86,12.72,12.72,8598.13,12.72,12.72
Nawada,1868.36,13.67,13.67,1421.62,13.67,13.67,547.60,13.67,13.67,3837.58,13.67,13.67,1048.99,13.67,13.67,4886.57,13.67,13.67
Pashchim Champaran,2996.91,19.00,19.00,2562.91,19.00,19.00,611.18,19.00,19.00,6171.00,19.00,19.00,1885.02,19.00,19.00,8056.02,19.00,19.00
Patna,6998.67,37.58,37.58,19653.02,37.58,37.58,5611.74,37.58,37.58,32263.43,37.58,37.58,18372.80,37.58,37.58,50636.23,37.58,37.58
Purbi Champaran,4585.68,19.66,19.66,3560.45,19.66,19.66,845.64,19.66,19.66,8991.77,19.66,19.66,2819.10,19.66,19.66,11810.87,19.66,19.66
Purnia,3387.02,24.23,24.23,3136.49,24.23,24.23,1282.58,24.23,24.23,7806.09,24.23,24.23,2293.91,24.23,24.23,10100.00,24.23,24.23
Rohtas,3236.04,14.37,14.37,2796.50,14.37,14.37,537.50,14.37,14.37,6570.04,14.37,14.37,1870.43,14.37,14.37,8440.47,14.37,14.37
Saharsa,1691.67,18.10,18.10,1318.05,18.10,18.10,249.63,18.10,18.10,3259.35,18.10,18.10,1005.65,18.10,18.10,4265.00,18.10,18.10
Samastipur,4184.91,17.82,17.82,3517.88,17.82,17.82,672.23,17.82,17.82,8375.02,17.82,17.82,2428.82,17.82,17.82,10803.84,17.82,17.82
Saran,3851.56,13.42,13.42,3346.16,13.42,13.42,1562.62,13.42,13.42,8760.34,13.42,13.42,2300.41,13.42,13.42,11060.75,13.42,13.42
Sheikhpura,792.36,10.18,10.18,693.46,10.18,10.18,148.89,10.18,10.18,1634.71,10.18,10.18,469.73,10.18,10.18,2104.44,10.18,10.18
Sheohar,687.83,9.03,9.03,586.50,9.03,9.03,117.24,9.03,9.03,1391.57,9.03,9.03,397.28,9.03,9.03,1788.85,9.03,9.03
Sitamarhi,2335.03,16.54,16.54,2008.13,16.54,16.54,421.54,16.54,16.54,4764.70,16.54,16.54,1391.66,16.54,16.54,6156.36,16.54,16.54
Siwan,3667.92,16.25,16.25,2944.35,16.25,16.25,891.36,16.25,16.25,7503.63,16.25,16.25,1941.49,16.25,16.25,9445.12,16.25,16.25
Supaul,1681.94,14.18,14.18,1603.35,14.18,14.18,292.03,14.18,14.18,3577.32,14.18,14.18,1172.79,14.18,14.18,4750.11,14.18,14.18
Vaishali,3801.66,23.46,23.46,2154.60,23.46,23.46,1777.26,23.46,23.46,7733.52,23.46,23.46,2327.02,23.46,23.46,10060.54,23.46,23.46
