district,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Resource A/C Nos,Water Resource Amount,Farm mechanization A/C Nos,Farm mechanization Amount,Plantation & horticulture A/C Nos,Plantation & horticulture Amount,Animal Husbandry A/C Nos,Animal Husbandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastructure Ac,Agri. Infrastructure Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Dima Hasao,29,278,96.11,0,0.00,0,0.00,0,0.00,0,0.00,61,70.06,53,33.70,281,525.48,0,0.00,27,58.51,700,783.86
Goalpara,67,3092,3162.32,0,0.00,0,0.00,1557,281.80,0,0.00,826,779.00,8,2.39,1107,3033.07,9,5.10,532,1022.15,7131,8285.83
Golaghat,115,7651,9416.81,92,56.96,0,0.00,4475,1254.67,7,25.82,578,1221.66,4,6.94,3020,5222.55,7,201.34,909,6850.40,16743,24257.15
Hailakandi,44,1546,1174.59,0,0.00,0,0.00,72,29.98,0,0.00,185,255.55,5,0.53,585,1803.44,1,0.10,334,559.42,2728,3823.61
Hojai,58,3208,2945.47,0,0.00,0,0.00,981,231.44,0,0.00,71,84.53,0,0.00,1212,1255.36,7,157.50,402,412.20,5881,5086.50
Jorhat,135,5120,4772.47,266,133.92,2,1.20,1709,452.36,4,1.32,369,609.71,7,4.24,2781,5184.48,9,105.66,581,17927.90,10848,29193.26
Kamrup Metro,165,5941,6304.86,718,677.22,0,0.00,9363,2550.59,84,24.99,682,988.09,23,20.72,3527,5117.48,19,21.85,1419,2359.47,21776,18065.27
Karbi Anglong,65,8092,5352.51,2,1.88,0,0.00,788,251.42,13,25.69,869,2093.00,11,4.40,2020,3930.19,0,0.00,279,385.61,12074,12044.70
Karimganj,87,2414,1785.12,20,18.30,0,0.00,203,51.46,0,0.00,134,248.95,32,59.10,757,1067.89,2,10.02,421,450.21,3983,3691.05
Kokrajhar,51,5058,5779.97,0,0.00,0,0.00,280,47.02,2,2.28,111,134.36,9,7.75,1379,2152.22,2,3.65,136,187.68,6977,8314.93
Lakhimpur,87,8767,8183.17,2,1.06,0,0.00,5798,1440.52,61,21.40,317,425.22,19,24.38,2426,2777.03,2,1.10,445,583.65,17837,13457.53
Majuli,13,706,2561.74,0,0.00,0,0.00,0,0.00,0,0.00,135,557.06,0,0.00,168,242.92,0,0.00,3,3.00,1012,3364.72
Morigaon,67,3756,3209.42,16,12.44,5,12.32,1712,532.93,0,0.00,264,490.57,68,87.21,1624,2874.34,1,1.83,445,440.00,7891,7661.06
Nagaon,150,8383,7925.27,4,5.16,0,0.00,9191,2230.36,13,2.34,511,824.04,69,65.38,5015,7338.47,13,33.01,753,1916.43,23952,20340.46
Nalbari,84,2233,2379.24,54,45.34,0,0.00,7306,1834.72,96,24.00,210,332.55,10,4.28,2546,3155.97,1,1.20,609,1417.94,13065,9195.24
Sivasagar,96,4071,4556.46,96,55.86,0,0.00,3020,636.73,0,0.00,244,276.84,6,3.15,2217,2964.35,21,108.15,668,2350.47,10343,10952.01
Sonitpur,123,4456,4237.60,132,106.00,0,0.00,3193,815.03,1,5.00,381,939.19,30,21.21,2692,4419.41,3,25.00,1084,4925.95,11972,15494.39
South Salmara,11,260,233.47,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,85,168.19,0,0.00,0,0.00,345,401.66
Tinsukia,147,8320,12124.40,148,89.34,0,0.00,7070,1721.65,8,16.71,315,977.68,2,0.00,3542,5057.31,29,230.34,748,12604.73,20182,32822.16
Udalguri,47,3375,3307.72,0,0.00,0,0.00,5,0.84,0,0.00,102,241.26,15,7.81,898,1919.19,2,12.00,282,363.43,4679,5852.25
West Karbi Anglong,22,1913,763.53,0,0.00,0,0.00,0,0.00,0,0.00,98,218.79,0,0.00,614,1037.37,0,0.00,5,2.29,2630,2021.98
