District,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20
Madhubani,CENTRAL,BANK,OF,INDIA,29-01-2011,YES,YES,YES,YES,YES,YES,5,12,1053,791,8249,586,262,SRLM,51
Munger,UCO,BANK,01-02-2011,YES,YES,YES,YES,NO,NO,0,12,369,276,8837,4351,2564,SRLM,42,,
Muzaffarpur,CENTRAL,BANK,OF,INDIA,19-02-2007,YES,YES,YES,YES,YES,YES,75,15,865,640,10664,8220,3815,SRLM,55
Nalanda,PUNJAB,NATIONAL,BANK,15-02-2010,YES,YES,YES,YES,YES,YES,8,17,593,416,11871,7792,3601,NA,19,
Nawada,PUNJAB,NATIONAL,BANK,28-03-2010,YES,YES,YES,YES,YES,NO,0,32,1098,375,10404,8226,4019,SRLM,70,
Pashchim Champaran,CENTRAL,BANK,OF,INDIA,27-01-2011,YES,YES,YES,YES,YES,YES,20,10,858,630,8705,308,166,SRLM,26
Patna,PUNJAB,NATIONAL,BANK,15-01-2007,NO,NO,YES,NO,NO,NO,24,18,531,406,11149,8052,3088,SRLM,42,
Purbi Champaran,CENTRAL,BANK,OF,INDIA,19-12-2011,YES,YES,YES,YES,YES,YES,21,0,870,680,8880,6312,3191,SRLM,49
Purnia,STATE,BANK,OF,INDIA,30-03-2007,YES,YES,YES,YES,YES,YES,0,34,1115,335,9629,7574,4358,SRLM,93
Rohtas,PUNJAB,NATIONAL,BANK,27-01-2012,YES,YES,YES,YES,YES,YES,0,34,1096,306,9422,966,4521,SRLM,76,
Saharsa,STATE,BANK,OF,INDIA,27-03-2009,YES,YES,YES,YES,YES,YES,0,17,547,333,9227,6767,3933,SRLM,87
Samastipur,UNION,BANK,OF,INDIA,31-03-2009,YES,YES,YES,YES,YES,YES,3,12,369,305,9167,6625,2861,SRLM,29
Saran,CENTRAL,BANK,OF,INDIA,08-02-2011,YES,YES,YES,YES,YES,YES,10,18,795,541,7776,4184,1754,SRLM,60
Sheikhpura,CANARA,BANK,19-01-2010,YES,YES,YES,YES,YES,YES,630,18,595,420,13218,3387,790,SRLM,26,,
Sheohar,BANK,OF,BARODA,31-03-2010,YES,YES,YES,YES,YES,YES,225,18,573,440,13252,10274,4916,SRLM,143,
Sitamarhi,BANK,OF,BARODA,28-03-2012,YES,YES,YES,YES,YES,NO,419,18,591,326,9457,6398,3634,SRLM,82,
Siwan,CENTRAL,BANK,OF,INDIA,15-03-2011,YES,YES,YES,YES,YES,YES,15,8,877,622,6524,7060,2933,SRLM,27
Supaul,STATE,BANK,OF,INDIA,25-03-2009,YES,YES,YES,YES,YES,YES,0,28,927,328,9637,7570,4906,SRLM,63
Vaishali,CANARA,BANK,30-01-2008,YES,YES,YES,YES,YES,YES,405,19,308,543,16086,10655,4395,SRLM,105,,
