district,shishu_loans_up_to_rs_50_000_outstanding_no,amt,out_of_which_under_npa_no,amt,kishore_loans_from_rs_50_001_to_rs_5_00_lakh_outstanding_no,amt,out_of_which_under_npa_no,amt,tarun_loans_from_rs_5_00_lakh_above_to_rs_10_00_lakh_outstan,amt,out_of_which_under_npa_no,amt,tarun_plus_loans_from_rs_10_00_lakh_above_to_rs_20_00_lakh_o,amt,out_of_which_under_npa_no,amt,total_pmmy_loans_outstanding_no,amt,out_of_which_under_npa_no,amt,age_npa_no,amt
Lakhisarai,21605,12.70,11168,12.70,28723,12.70,11168,12.70,1215,12.70,11168,12.70,40,12.70,11168,12.70,51583,12.70,11168,12.70,21.65,12.70
Madhepura,57070,17.78,37547,17.78,56106,17.78,37547,17.78,2652,17.78,37547,17.78,117,17.78,37547,17.78,115945,17.78,37547,17.78,32.38,17.78
Madhubani,131427,17.19,71264,17.19,100479,17.19,71264,17.19,5634,17.19,71264,17.19,286,17.19,71264,17.19,237826,17.19,71264,17.19,29.96,17.19
Munger,42557,15.72,17248,15.72,42453,15.72,17248,15.72,2405,15.72,17248,15.72,68,15.72,17248,15.72,87483,15.72,17248,15.72,19.72,15.72
Muzaffarpur,281559,16.30,136632,16.30,214600,16.30,136632,16.30,10270,16.30,136632,16.30,609,16.30,136632,16.30,507038,16.30,136632,16.30,26.95,16.30
Nalanda,56067,16.05,22546,16.05,63841,16.05,22546,16.05,5051,16.05,22546,16.05,130,16.05,22546,16.05,125089,16.05,22546,16.05,18.02,16.05
Nawada,55859,15.56,28849,15.56,63087,15.56,28849,15.56,3705,15.56,28849,15.56,149,15.56,28849,15.56,122800,15.56,28849,15.56,23.49,15.56
Pashchim Champaran,124245,12.01,38493,12.01,113908,12.01,38493,12.01,4366,12.01,38493,12.01,366,12.01,38493,12.01,242885,12.01,38493,12.01,15.85,12.01
Patna,566948,13.40,179243,13.40,345123,13.40,179243,13.40,21552,13.40,179243,13.40,1199,13.40,179243,13.40,934822,13.40,179243,13.40,19.17,13.40
Purbi Champaran,110232,13.74,62873,13.74,143286,13.74,62873,13.74,8144,13.74,62873,13.74,552,13.74,62873,13.74,262214,13.74,62873,13.74,23.98,13.74
Purnia,82490,10.31,35503,10.31,116641,10.31,35503,10.31,5747,10.31,35503,10.31,312,10.31,35503,10.31,205190,10.31,35503,10.31,17.30,10.31
Rohtas,93513,21.05,51231,21.05,77066,21.05,51231,21.05,5838,21.05,51231,21.05,131,21.05,51231,21.05,176548,21.05,51231,21.05,29.02,21.05
Saharsa,57264,15.35,32239,15.35,52057,15.35,32239,15.35,4085,15.35,32239,15.35,121,15.35,32239,15.35,113527,15.35,32239,15.35,28.40,15.35
Samastipur,167610,15.20,93102,15.20,177113,15.20,93102,15.20,6200,15.20,93102,15.20,273,15.20,93102,15.20,351196,15.20,93102,15.20,26.51,15.20
Saran,131936,13.05,57921,13.05,161907,13.05,57921,13.05,6802,13.05,57921,13.05,374,13.05,57921,13.05,301019,13.05,57921,13.05,19.24,13.05
Sheikhpura,13080,14.00,5590,14.00,14649,14.00,5590,14.00,1215,14.00,5590,14.00,13,14.00,5590,14.00,28957,14.00,5590,14.00,19.30,14.00
Sheohar,12289,17.57,6742,17.57,10016,17.57,6742,17.57,851,17.57,6742,17.57,24,17.57,6742,17.57,23180,17.57,6742,17.57,29.09,17.57
Sitamarhi,91300,17.57,61384,17.57,75875,17.57,61384,17.57,5521,17.57,61384,17.57,248,17.57,61384,17.57,172944,17.57,61384,17.57,35.49,17.57
Siwan,104495,12.15,41216,12.15,114800,12.15,41216,12.15,5506,12.15,41216,12.15,293,12.15,41216,12.15,225094,12.15,41216,12.15,18.31,12.15
Supaul,38728,13.49,27378,13.49,39681,13.49,27378,13.49,4094,13.49,27378,13.49,165,13.49,27378,13.49,82668,13.49,27378,13.49,33.12,13.49
Vaishali,148200,14.64,73409,14.64,148086,14.64,73409,14.64,6976,14.64,73409,14.64,403,14.64,73409,14.64,303665,14.64,73409,14.64,24.17,14.64
