District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Mancherial,38.0,0.0,0.0,639.24,6.99,5.41,997.0,28.73,11.45,418.77,0.1,0.28,34.0,0.0,0.0,112.03,65.56,0.0,2158.7,247.08,2405.78,137.11,561.31,3104.2,752.91,2218.13,51.8,0.0,129.26,250.89,35.58,9.08,0.0,4281.92
Medak,24.0,0.0,0.0,531.14,7.51,98.95,698.0,11.12,6.01,166.39,0.1,0.58,0.0,0.0,0.0,156.29,83.89,0.0,1758.32,521.97,2280.29,126.48,388.59,2795.36,514.77,2217.06,62.86,0.0,7.59,185.09,17.35,6.96,0.0,3527.12
Medchal Malkajgiri,197.0,0.0,0.0,16517.6,69.94,22.33,8864.0,463.09,44.22,7029.61,0.27,0.11,5.0,0.07,0.18,272.62,173.28,0.0,242.36,1191.45,1433.81,175.37,305.92,1915.1,4983.41,17577.38,205.63,0.0,313.19,1047.22,250.65,38.4,0.0,8547.97
Mulugu,109.0,0.0,0.0,58.22,8.28,57.3,830.0,2.8,9.94,32.33,0.0,0.0,17.0,0.0,0.0,3.1,1.4,0.0,831.45,415.78,1247.23,50.15,22.05,1319.43,98.98,713.25,48.54,0.0,14.45,28.18,7.7,0.7,0.0,1469.44
Nagarkurnool,17.0,0.0,0.0,368.19,7.14,52.58,769.0,13.95,8.3,158.79,0.0,0.0,0.0,0.0,0.0,18.81,10.94,0.0,3456.16,804.59,4260.75,95.32,608.73,4964.8,413.85,2600.73,46.65,0.0,13.58,168.0,5.02,9.59,0.0,5574.84
Nalgonda,109.0,0.0,0.0,2206.8,25.0,42.22,2407.0,45.03,16.93,761.8,0.39,0.67,0.0,0.0,0.0,48.17,40.05,0.0,4909.21,610.53,5519.74,275.38,1379.86,7174.98,821.5,7753.66,91.92,0.0,59.22,266.03,57.91,55.2,0.0,8434.84
Narayanpet,11.0,0.0,0.0,126.92,2.53,52.49,403.0,4.6,23.96,72.82,0.05,0.44,0.0,0.0,0.0,20.13,17.78,0.0,1834.09,407.37,2241.46,76.26,134.88,2452.6,176.45,1253.22,46.94,0.0,4.82,19.2,11.24,5.33,0.0,2669.64
Nirmal,31.0,0.0,0.0,705.47,3.97,9.69,420.0,21.99,25.45,254.49,0.0,0.0,16.0,0.0,0.0,54.35,31.79,0.0,2316.68,232.28,2548.96,225.73,521.32,3296.01,564.5,2702.22,67.05,0.0,40.97,86.4,21.66,20.33,0.0,4029.87
Nizamabad,185.0,0.0,0.0,1909.68,20.29,25.78,2484.0,66.96,40.66,1022.24,5.41,15.18,2.0,0.0,0.0,219.8,125.42,0.0,4062.25,980.3,5042.55,252.39,1273.5,6568.44,1646.89,6012.43,70.62,0.0,78.71,164.69,35.64,19.17,0.0,8513.54
Peddapalli,29.0,0.0,0.0,708.22,20.53,134.2,1917.0,21.66,27.49,268.99,0.0,0.0,305.0,8.53,45.98,89.74,69.45,0.0,1854.26,330.46,2184.72,49.17,409.87,2643.76,484.98,2367.67,72.64,0.0,15.3,78.8,17.91,18.55,0.0,3259.3
Rajanna Sircilla,5.0,0.0,0.0,348.02,8.04,61.7,871.0,10.79,35.62,268.27,0.0,0.0,578.0,15.55,213.31,95.51,40.8,0.0,1401.85,226.58,1628.43,117.65,387.94,2134.02,640.69,1601.56,56.51,0.0,13.03,30.29,8.91,7.29,0.0,2834.23
Ranga Reddy,466.0,0.0,0.0,8230.6,68.17,54.49,8020.0,431.13,37.27,4078.21,0.78,0.92,25.0,0.33,1.17,214.38,148.25,0.0,2792.6,1823.49,4616.09,447.19,768.73,5832.01,7686.35,12503.59,83.85,0.0,125.11,1156.76,84.38,28.11,0.0,14912.72
Sangareddy,98.0,0.0,0.0,1930.91,20.44,23.94,2496.0,92.06,7.25,1723.9,3.13,6.88,0.0,0.0,0.0,217.5,126.48,0.0,2722.81,325.86,3048.67,122.88,972.5,4144.05,1000.58,4622.17,70.55,0.0,85.39,1269.28,45.52,6.71,0.0,6551.53
Siddipet,36.0,0.0,0.0,580.35,24.92,182.0,2487.0,38.18,11.29,445.97,0.1,0.19,124.0,3.74,123.43,237.78,138.09,0.0,3088.94,740.54,3829.48,142.74,538.66,4510.88,661.86,3383.62,60.63,0.0,13.69,338.32,53.35,3.03,0.0,5581.13
Suryapet,129.0,0.0,0.0,1137.93,15.84,44.0,2011.0,47.49,26.38,622.75,0.0,0.0,1.0,0.0,0.0,52.03,45.04,0.0,2614.67,362.6,2977.27,226.64,774.69,3978.6,457.47,4894.55,102.92,0.0,36.0,180.03,35.65,67.79,0.0,4755.54
Vikarabad,40.0,0.0,0.0,303.97,4.19,2.65,650.0,11.3,1.14,140.84,0.0,0.0,6.0,0.1,0.11,51.23,35.6,0.0,2582.24,683.54,3265.78,76.84,487.24,3829.86,1200.55,2058.74,32.36,0.0,158.03,991.18,91.29,90.61,0.0,6361.52
Wanaparthy,5.0,0.0,0.0,270.9,12.75,124.9,1622.0,11.05,30.19,149.1,0.0,0.0,0.0,0.0,0.0,31.5,24.21,0.0,2307.13,536.09,2843.22,94.04,324.2,3261.46,185.26,1473.05,41.96,0.0,10.21,36.6,10.61,6.42,0.0,3510.56
Warangal,43.0,0.0,0.0,1532.65,17.51,149.4,2264.0,23.57,54.27,298.12,7.5,127.3,9.0,2.22,358.06,79.32,44.44,0.0,1578.36,632.46,2210.82,108.21,56.93,2375.96,205.76,3381.46,127.92,0.0,11.72,43.43,5.89,0.62,0.0,2643.38
Yadadri Bhuvanagiri,106.0,0.0,0.0,509.84,7.12,27.83,669.0,26.75,23.07,231.85,4.45,21.09,0.0,0.0,0.0,22.38,16.04,0.0,1929.44,307.1,2236.54,176.33,563.88,2976.75,353.54,2548.28,72.64,0.0,25.58,115.93,21.1,15.05,0.0,3507.95
