District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Kumuram Bheem Asifabad,46079.0,5.99,45.28,51.51,0.55,2.96,11.0,13.08,46.8,98.0,63.28,158.92,8929.0,86.2,163.66,450.89,169.1,111.05,13.23,18.6,27.95,39.82,52.67,152.27
Mahabubabad,249018.0,3.92,17.81,249.42,4.91,15.04,127.0,96.87,196.13,343.86,96.96,146.4,36178.0,281.28,293.15,1145.31,483.94,181.78,22.01,32.64,49.39,66.23,95.95,266.22
Mahabubnagar,236686.0,16.44,57.32,242.83,18.23,42.01,394.0,257.05,433.25,1705.41,357.14,412.74,73497.0,752.74,592.66,4471.96,1401.6,406.33,28.68,43.39,59.33,86.53,127.01,344.94
Mancherial,99386.0,4.71,14.83,119.6,8.24,19.02,159.0,189.21,300.95,1183.42,492.76,546.48,69132.0,578.55,499.14,3616.42,1273.47,370.16,31.75,43.33,62.87,90.17,115.91,344.03
Medak,219494.0,3.62,13.45,248.21,7.35,31.63,116.0,131.53,313.32,679.97,145.25,176.49,57272.0,441.43,465.55,1937.64,729.18,270.81,26.92,23.24,41.98,82.3,94.82,269.26
Medchal Malkajgiri,171313.0,173.8,31.6,226.32,208.4,18.69,4100.0,7131.57,321.99,41462.24,6918.88,269.49,1333844.0,12276.94,363.79,83921.98,26709.59,271.94,550.03,1114.77,2214.82,2567.43,3374.72,9821.77
Mulugu,90821.0,0.04,0.62,124.93,0.98,17.92,23.0,32.71,339.67,88.08,32.37,365.35,10794.0,125.62,3086.49,397.07,191.72,555.55,6.48,5.47,9.63,8.86,4.07,34.51
Nagarkurnool,279513.0,5.63,28.29,350.76,6.42,38.81,152.0,86.91,246.27,450.26,133.47,239.15,44534.0,427.35,686.18,1623.18,659.78,347.58,19.9,16.54,35.29,55.81,62.28,189.82
Nalgonda,565876.0,17.7,31.38,736.56,43.22,60.59,875.0,388.15,389.83,2373.57,464.23,355.73,151552.0,1610.62,1119.65,6925.01,2523.92,503.11,56.41,71.33,99.57,130.5,143.85,501.66
Narayanpet,161493.0,0.06,1.25,187.79,3.1,44.67,42.0,31.66,311.0,134.55,30.81,216.21,13245.0,122.62,680.47,531.43,188.25,347.32,4.81,6.94,10.18,14.25,18.02,54.2
Nirmal,137460.0,4.19,16.3,174.63,10.11,25.94,158.0,103.1,179.99,567.14,375.65,443.72,34965.0,291.45,265.78,1823.2,784.5,248.04,25.7,38.98,57.28,84.66,109.66,316.28
Nizamabad,443055.0,12.66,52.57,466.78,35.83,112.4,817.0,437.83,773.0,2721.58,759.58,2337.2,137769.0,1138.38,2074.69,6987.28,2384.28,1192.3,24.08,31.89,56.64,32.5,54.87,199.98
Peddapalli,157440.0,19.66,58.83,200.03,15.94,55.31,301.0,160.21,271.68,928.47,310.59,364.93,67564.0,555.23,472.54,2847.54,1061.63,327.85,33.42,28.82,58.97,85.11,117.5,323.82
Rajanna Sircilla,111535.0,2.21,15.0,181.72,8.33,70.77,188.0,126.6,477.74,628.78,242.31,548.96,47633.0,285.02,569.47,1709.04,664.47,451.44,14.73,11.77,26.5,44.14,50.05,147.19
Ranga Reddy,376125.0,362.55,45.97,519.58,276.2,10.72,4806.0,4915.94,790.0,23635.24,2948.5,135.05,553210.0,14813.43,481.71,52901.36,23316.62,252.2,788.59,2575.88,622.27,2183.28,3075.2,9245.22
Sangareddy,299556.0,8.73,10.15,342.78,28.31,52.41,621.0,2370.95,1156.6,10240.17,904.74,258.5,153840.0,3854.09,713.72,16793.98,7166.82,580.32,85.97,54.02,205.0,349.99,540.0,1234.98
Siddipet,265351.0,32.7,117.6,301.96,14.12,31.79,269.0,222.87,273.02,1154.09,172.16,194.53,58481.0,480.22,496.81,2720.63,922.07,271.99,27.81,44.41,81.63,88.5,96.66,339.01
Suryapet,433324.0,8.88,23.55,599.03,26.13,86.64,615.0,281.66,372.86,1702.58,194.06,183.46,73063.0,783.33,610.07,3869.33,1294.06,342.72,37.71,30.16,75.54,105.78,128.4,377.59
Vikarabad,237803.0,0.31,0.21,292.15,3.64,4.05,67.0,59.2,34.45,335.09,163.72,117.02,93543.0,356.42,71.75,1484.27,583.29,55.74,148.21,89.82,171.82,139.91,496.74,1046.5
Wanaparthy,164966.0,1.62,12.14,180.1,4.85,23.56,113.0,63.71,212.51,436.7,76.19,172.26,20828.0,217.81,387.08,1146.67,364.18,221.51,13.34,20.59,29.98,44.23,56.27,164.41
Warangal,212991.0,24.43,197.2,230.77,23.71,241.5,450.0,274.55,1488.1,1414.07,279.15,665.12,82139.0,990.4,2255.01,4457.39,1592.24,1258.2,12.39,9.82,18.45,41.97,43.92,126.55
Yadadri Bhuvanagiri,222873.0,7.81,42.51,259.77,10.64,42.58,235.0,142.51,480.15,716.04,132.48,242.95,46337.0,403.15,556.68,1992.46,696.59,348.31,18.37,24.99,29.68,54.53,72.42,199.99
