District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Kumuram Bheem Asifabad,60.0,0.0,0.0,115.82,0.3,0.85,130.0,1.38,1.95,63.56,0.0,0.0,47.0,0.0,0.0,36.81,10.65,0.0,1519.37,224.57,1743.94,133.4,246.96,2124.3,265.59,766.78,30.46,0.0,35.21,70.85,15.18,5.92,0.0,2517.05
Mahabubabad,30.0,0.0,0.0,265.61,6.4,50.83,1038.0,5.49,22.9,136.33,0.0,0.0,2.0,0.07,7.07,94.47,35.85,0.0,1688.76,429.63,2118.39,113.07,395.91,2627.37,282.36,1463.96,49.52,0.0,12.59,23.97,9.29,0.99,0.0,2956.57
Mahabubnagar,64.0,0.0,0.0,1142.75,8.28,37.69,1152.0,28.3,17.52,588.89,0.2,0.77,0.0,0.0,0.0,62.79,13.96,0.0,3162.41,601.63,3764.04,84.51,484.92,4333.47,584.61,1997.88,38.85,0.0,21.97,161.51,26.08,15.54,0.0,5143.18
Mancherial,49.0,0.0,0.0,531.52,4.59,3.55,954.0,20.54,8.19,443.45,0.1,0.28,36.0,0.0,0.0,159.87,51.65,0.0,2158.7,247.08,2405.78,137.11,561.31,3104.2,752.91,1690.83,39.49,0.0,129.26,250.89,35.58,9.08,0.0,4281.92
Medak,33.0,0.0,0.0,565.74,6.08,80.11,742.0,13.16,7.11,207.51,0.1,0.58,0.0,0.0,0.0,180.88,53.55,0.0,1758.32,521.97,2280.29,126.48,388.59,2795.36,514.77,1548.31,43.9,0.0,7.59,185.09,17.35,6.96,0.0,3527.12
Medchal Malkajgiri,227.0,0.0,0.0,15398.98,44.62,14.25,8586.0,273.5,26.12,7129.95,0.27,0.11,4.0,0.0,0.0,297.66,127.39,0.0,242.36,1191.45,1433.81,175.37,305.92,1915.1,4983.41,13454.96,157.41,0.0,313.19,1047.22,250.65,38.4,0.0,8547.97
Mulugu,127.0,0.0,0.0,55.71,5.85,40.48,752.0,1.9,6.74,32.58,0.0,0.0,17.0,0.0,0.0,14.6,0.31,0.0,831.45,415.78,1247.23,50.15,22.05,1319.43,98.98,497.47,33.85,0.0,14.45,28.18,7.7,0.7,0.0,1469.44
Nagarkurnool,15.0,0.0,0.0,322.78,5.25,38.66,772.0,11.37,6.77,176.78,0.0,0.0,0.0,0.0,0.0,77.16,6.14,0.0,3456.16,804.59,4260.75,95.32,608.73,4964.8,413.85,1854.24,33.26,0.0,13.58,168.0,5.02,9.59,0.0,5574.84
Nalgonda,101.0,0.0,0.0,1854.17,17.51,29.57,2362.0,29.05,10.92,823.12,0.39,0.67,0.0,0.0,0.0,209.93,24.68,0.0,4909.21,610.53,5519.74,275.38,1379.86,7174.98,821.5,5401.51,64.04,0.0,59.22,266.03,57.91,55.2,0.0,8434.84
Narayanpet,21.0,0.0,0.0,115.18,1.98,41.08,532.0,3.29,17.14,78.27,0.0,0.0,0.0,0.0,0.0,44.1,11.51,0.0,1834.09,407.37,2241.46,76.26,134.88,2452.6,176.45,815.63,30.55,0.0,4.82,19.2,11.24,5.33,0.0,2669.64
Nirmal,32.0,0.0,0.0,614.08,2.58,6.3,389.0,15.53,17.97,277.72,0.0,0.0,15.0,0.0,0.0,59.82,21.7,0.0,2316.68,232.28,2548.96,225.73,521.32,3296.01,564.5,2098.08,52.06,0.0,40.97,86.4,21.66,20.33,0.0,4029.87
Nizamabad,227.0,0.0,0.0,1838.0,12.19,15.49,2074.0,43.1,26.17,1078.58,5.22,14.65,2.0,0.0,0.0,231.0,83.34,0.0,4062.25,980.3,5042.55,252.39,1273.5,6568.44,1646.89,4403.9,51.73,0.0,78.71,164.69,35.64,19.17,0.0,8513.54
Peddapalli,27.0,0.0,0.0,654.4,13.96,91.24,1813.0,14.15,17.96,271.48,0.0,0.0,277.0,4.39,23.67,102.18,46.93,0.0,1854.26,330.46,2184.72,49.17,409.87,2643.76,484.98,1692.56,51.93,0.0,15.3,78.8,17.91,18.55,0.0,3259.3
Rajanna Sircilla,8.0,0.0,0.0,303.05,6.43,49.35,717.0,5.19,17.13,238.22,0.0,0.0,524.0,10.73,147.19,122.01,33.34,0.0,1401.85,226.58,1628.43,117.65,387.94,2134.02,640.69,1091.61,38.52,0.0,13.03,30.29,8.91,7.29,0.0,2834.23
Ranga Reddy,857.0,0.0,0.0,7664.23,39.73,31.76,7587.0,261.52,22.61,4171.74,0.61,0.72,22.0,0.31,1.1,295.89,114.69,0.0,2792.6,1823.49,4616.09,447.19,768.73,5832.01,7686.35,8945.38,59.98,0.0,125.11,1156.76,84.38,28.11,0.0,14912.72
Sangareddy,123.0,0.0,0.0,1763.17,9.68,11.34,2320.0,48.55,3.83,1756.76,0.26,0.57,0.0,0.0,0.0,405.58,82.86,0.0,2722.81,325.86,3048.67,122.88,972.5,4144.05,1000.58,3219.14,49.14,0.0,85.39,1269.28,45.52,6.71,0.0,6551.53
Siddipet,38.0,0.0,0.0,496.46,15.27,111.5,2038.0,26.43,7.81,484.57,0.0,0.0,6.0,0.12,3.96,252.95,77.37,0.0,3088.94,740.54,3829.48,142.74,538.66,4510.88,661.86,2285.5,40.95,0.0,13.69,338.32,53.35,3.03,0.0,5581.13
Suryapet,158.0,0.0,0.0,1062.83,9.32,25.89,1979.0,28.8,16.0,657.32,0.0,0.0,1.0,0.0,0.0,145.46,28.81,0.0,2614.67,362.6,2977.27,226.64,774.69,3978.6,457.47,3532.94,74.29,0.0,36.0,180.03,35.65,67.79,0.0,4755.54
Vikarabad,47.0,0.0,0.0,262.74,3.08,1.95,649.0,8.1,0.82,158.1,0.0,0.0,8.0,0.1,0.11,61.67,25.27,0.0,2582.24,683.54,3265.78,76.84,487.24,3829.86,1200.55,1430.15,22.48,0.0,158.03,991.18,91.29,90.61,0.0,6361.52
Wanaparthy,8.0,0.0,0.0,261.72,5.72,56.02,994.0,7.24,19.78,166.46,0.0,0.0,0.0,0.0,0.0,53.22,14.74,0.0,2307.13,536.09,2843.22,94.04,324.2,3261.46,185.26,989.46,28.19,0.0,10.21,36.6,10.61,6.42,0.0,3510.56
Warangal,53.0,0.0,0.0,1485.12,10.95,93.43,2082.0,15.77,36.31,307.16,5.0,84.89,7.0,0.82,132.26,120.06,26.3,0.0,1578.36,632.46,2210.82,108.21,56.93,2375.96,205.76,2422.46,91.64,0.0,11.72,43.43,5.89,0.62,0.0,2643.38
Yadadri Bhuvanagiri,82.0,0.0,0.0,397.27,3.96,15.48,538.0,18.02,15.54,234.76,4.45,21.09,0.0,0.0,0.0,113.3,10.51,0.0,1929.44,307.1,2236.54,176.33,563.88,2976.75,353.54,1740.21,49.61,0.0,25.58,115.93,21.1,15.05,0.0,3507.95
