District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Khammam,523816.0,21.14,105.9,604.88,32.96,138.3,1277.0,228.8,712.55,3027.08,323.97,636.73,155396.0,1053.54,1557.57,8069.94,1660.41,854.03,19.96,23.83,32.11,50.88,67.64,194.42
Kumuram Bheem Asifabad,41287.0,5.65,42.71,39.15,0.13,0.7,37.0,5.47,19.57,169.98,42.13,105.8,9089.0,51.33,97.46,530.11,104.71,68.77,13.23,18.6,27.95,39.82,52.67,152.27
Mahabubabad,232384.0,2.72,12.36,206.49,2.32,7.11,125.0,57.27,115.95,297.86,67.3,101.62,37436.0,203.67,212.27,1069.29,333.28,125.19,22.01,32.64,49.39,66.23,95.95,266.22
Mahabubnagar,223871.0,13.77,48.01,226.63,9.47,21.83,366.0,117.51,198.06,1343.04,250.69,289.71,81963.0,524.79,413.19,4218.96,916.23,265.62,28.68,43.39,59.33,86.53,127.01,344.94
Mancherial,98277.0,2.57,8.09,112.21,3.38,7.8,150.0,91.51,145.55,981.38,367.52,407.59,66088.0,330.78,285.38,3341.49,795.76,231.31,31.75,43.33,62.87,90.17,115.91,344.03
Medak,208643.0,2.58,9.58,213.67,3.43,14.76,108.0,54.15,128.99,480.09,95.97,116.61,61226.0,321.31,338.86,2967.96,477.44,177.32,26.92,23.24,41.98,82.3,94.82,269.26
Medchal Malkajgiri,162397.0,135.45,24.63,223.8,119.51,10.72,3863.0,1689.73,76.29,13722.43,4732.74,184.34,1358720.0,10586.89,313.71,79917.62,17264.32,175.78,550.03,1114.77,2214.82,2567.43,3374.72,9821.77
Mulugu,87434.0,0.05,0.77,104.45,0.76,13.89,23.0,22.74,236.14,80.9,19.62,221.44,13170.0,89.89,2208.6,353.65,133.06,385.57,6.48,5.47,9.63,8.86,4.07,34.51
Nagarkurnool,280702.0,4.61,23.17,284.99,2.57,15.54,137.0,38.35,108.67,369.29,88.88,159.25,48611.0,310.26,498.17,1437.57,444.67,234.26,19.9,16.54,35.29,55.81,62.28,189.82
Nalgonda,549105.0,15.68,27.8,642.85,22.34,31.32,840.0,176.16,176.92,1654.52,310.18,237.69,160174.0,1162.78,808.33,6399.7,1687.14,336.31,56.41,71.33,99.57,130.5,143.85,501.66
Narayanpet,156699.0,0.06,1.25,170.03,1.34,19.31,40.0,14.7,144.4,113.39,17.59,123.44,16054.0,86.8,481.69,476.26,120.49,222.31,4.81,6.94,10.18,14.25,18.02,54.2
Nirmal,131408.0,3.0,11.67,128.36,2.56,6.57,137.0,55.34,96.61,506.28,148.42,175.31,34279.0,177.24,161.63,1713.77,386.56,122.22,25.7,38.98,57.28,84.66,109.66,316.28
Nizamabad,426070.0,8.99,37.33,431.12,16.36,51.3,788.0,221.86,391.7,2394.65,473.76,1457.7,131732.0,705.71,1286.15,6594.0,1426.68,713.41,24.08,31.89,56.64,32.5,54.87,199.98
Peddapalli,140112.0,14.67,43.9,141.67,9.97,34.59,283.0,86.2,146.18,860.28,200.54,235.62,62770.0,312.22,265.72,2708.35,623.6,192.58,33.42,28.82,58.97,85.11,117.5,323.82
Rajanna Sircilla,101202.0,0.99,6.72,116.06,4.34,36.87,168.0,52.47,198.0,568.93,191.72,434.35,47298.0,194.49,388.59,1552.15,444.01,301.66,14.73,11.77,26.5,44.14,50.05,147.19
Ranga Reddy,363106.0,234.06,29.68,420.24,119.6,4.64,4607.0,2826.69,454.25,20982.01,2066.68,94.66,672346.0,9716.01,315.95,50639.9,14963.04,161.85,788.59,2575.88,622.27,2183.28,3075.2,9245.22
Sangareddy,283550.0,5.28,6.14,271.33,12.75,23.6,594.0,395.78,193.06,4958.48,601.42,171.84,177363.0,3676.84,680.9,15569.41,4692.07,379.93,85.97,54.02,205.0,349.99,540.0,1234.98
Siddipet,257693.0,30.21,108.6,265.78,7.53,16.96,244.0,118.45,145.11,955.83,111.04,125.47,61088.0,343.6,355.47,2472.9,610.83,180.18,27.81,44.41,81.63,88.5,96.66,339.01
Suryapet,414915.0,6.79,18.01,470.54,10.78,35.74,596.0,138.36,183.16,1346.19,160.91,152.12,79340.0,497.45,387.42,3533.99,814.29,215.65,37.71,30.16,75.54,105.78,128.4,377.59
Vikarabad,253808.0,0.28,0.19,230.11,2.23,2.48,62.0,27.96,16.27,253.8,112.29,80.26,97849.0,243.79,49.08,1402.5,386.55,36.94,148.21,89.82,171.82,139.91,496.74,1046.5
Wanaparthy,156054.0,1.15,8.62,151.09,1.57,7.63,104.0,31.5,105.07,379.24,47.74,107.94,25679.0,154.75,275.01,1038.6,236.71,143.98,13.34,20.59,29.98,44.23,56.27,164.41
Warangal,213373.0,17.86,144.2,191.25,14.68,149.5,435.0,158.74,860.38,1338.17,182.58,435.03,82472.0,667.4,1519.58,4215.76,1041.26,822.81,12.39,9.82,18.45,41.97,43.92,126.55
Yadadri Bhuvanagiri,211601.0,6.94,37.78,207.58,4.54,18.17,211.0,73.89,248.96,553.45,89.83,164.74,50001.0,317.15,437.93,1809.63,492.35,246.19,18.37,24.99,29.68,54.53,72.42,199.99
