district,period,branch_network__total_branch,credit_deposit_ratio__cd_ratio,credit_deposit_ratio__gross_npa,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit
Bandipora,September 2022,46,87.91,9499.0,139057.0,158184.15
Baramulla,September 2022,169,98.76,39813.0,596084.0,603559.8
Budgam,September 2022,102,96.54,22637.0,408949.0,423586.48
Doda,September 2022,59,63.81,4047.0,178061.0,279046.06
Ganderbal,September 2022,45,85.87,10201.0,153960.0,179289.6
Jammu,September 2022,433,34.77,137550.0,1962066.94,5643172.05
Kathua,September 2022,112,45.54,16916.0,375119.0,823661.02
Kishtwar,September 2022,32,49.12,1068.0,105224.0,214206.25
Kulgam,September 2022,57,88.38,7132.0,183680.0,207819.15
Kupwara,September 2022,89,124.68,19701.0,361615.0,290043.25
Poonch,September 2022,51,51.02,2904.0,168469.0,330221.84
Pulwama,September 2022,93,103.01,31085.0,419157.0,406894.16
Rajouri,September 2022,98,48.71,3956.0,281050.0,576963.27
Ramban,September 2022,37,84.8,2603.0,151836.0,179049.24
Reasi,September 2022,55,37.79,2783.0,137371.0,363499.78
Samba,September 2022,91,57.29,10363.0,369768.46,645437.9
Shopian,September 2022,38,139.91,9776.0,178379.0,127492.62
Srinagar,September 2022,224,67.0,229981.0,2164518.71,3230756.37
Udhampur,September 2022,90,47.78,4168.0,292331.76,611863.44
Anantnag,September 2023,137,82.06,13666.0,602196.0,733870.24
Bandipora,September 2023,46,100.41,5645.0,162904.0,162244.0
Baramulla,September 2023,168,110.28,27759.0,701427.0,636018.81
Budgam,September 2023,108,110.01,11582.0,493923.94,448999.7
Doda,September 2023,59,75.94,3377.0,223197.0,293928.81
Ganderbal,September 2023,47,94.94,5861.0,178246.0,187742.81
Jammu,September 2023,451,39.07,107177.0,2369705.0,6065330.35
Kathua,September 2023,118,50.29,16792.0,466694.69,928028.01
Kishtwar,September 2023,33,56.45,728.0,133234.0,236001.0
Kulgam,September 2023,58,98.66,4138.0,217936.0,220891.5
Kupwara,September 2023,90,138.16,12647.0,426150.0,308442.0
Poonch,September 2023,54,54.07,2064.0,194270.0,359291.0
Pulwama,September 2023,96,110.25,18257.0,489727.0,444203.2
Rajouri,September 2023,98,54.5,2937.0,336309.0,617064.04
Ramban,September 2023,39,70.26,1908.0,139534.0,198582.82
Reasi,September 2023,56,50.1,1688.0,170635.0,340602.12
Samba,September 2023,95,58.17,8977.0,422041.0,725475.02
Shopian,September 2023,39,156.6,5393.0,214693.3,137100.12
Srinagar,September 2023,243,74.08,222909.0,2528522.0,3413249.07
Udhampur,September 2023,93,50.31,3923.0,342736.33,681208.65
