District,Total Branch,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA AMT,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA AMT
Kamrup Metro,176,14000,29091.97,653,1360.17,464,373.94,407,875.05,19,12.26,1356,2865.98,707,957.32,11327,21297.82,1407,1011.64,107,1187.34,7,154.60
Karbi Anglong,66,6407,15215.14,214,479.51,4,3.00,32,47.47,1,1.84,420,608.95,215,168.68,7319,15888.30,269,79.39,38,564.77,5,27.58
Karimganj,92,3780,6213.12,158,284.97,117,94.58,165,257.80,39,13.48,624,1424.51,263,463.49,5197,7140.20,1057,502.49,25,515.01,6,68.81
Kokrajhar,55,5635,9876.33,350,405.26,75,36.31,61,64.70,8,7.94,1800,2310.59,1397,1630.48,4230,6747.41,448,317.33,19,407.03,3,18.82
Lakhimpur,92,10081,18786.29,437,768.75,210,84.96,138,189.55,5,1.32,1067,3039.02,545,1003.99,10326,17916.17,769,345.06,40,575.50,7,57.17
Majuli,16,1964,3676.71,91,169.81,23,17.68,,,,,192,373.24,50,67.47,2169,3634.50,149,67.01,14,123.36,1,3.36
Morigaon,67,5886,10263.79,321,490.35,471,261.28,307,413.53,60,14.19,807,1395.41,540,782.52,7986,11833.96,2043,1017.32,46,468.95,12,86.09
Nagaon,154,14282,28591.14,630,1098.69,236,103.81,323,741.98,10,7.93,1129,2787.10,628,980.42,15072,28021.29,823,545.45,92,1132.30,19,155.57
Nalbari,86,7953,17435.32,304,538.23,159,109.45,237,575.57,16,12.44,943,1979.94,537,889.36,9649,18665.36,874,451.37,47,724.23,7,58.35
Sivasagar,97,5500,10475.93,135,181.18,82,28.93,215,403.45,9,9.17,756,2482.31,271,479.28,5818,10587.14,256,195.27,57,700.34,6,58.07
Sonitpur,128,9567,20953.42,346,494.99,300,118.95,366,766.89,5,4.18,1150,2793.59,463,714.86,9546,17272.43,1418,633.24,136,1875.39,14,106.07
South Salmara,13,849,1291.42,60,128.47,145,40.03,4,4.03,,,389,463.11,315,343.79,895,1366.50,177,61.16,2,73.44,,
Tamulpur,21,2269,4799.90,64,125.89,18,12.77,7,7.79,0,0,249,434.15,170,233.57,2289,4380.78,238,88.19,4,102.08,0,0
Tinsukia,149,7758,17833.25,314,509.73,159,84.39,1344,2874.18,52,39.42,1217,3413.64,514,766.58,7776,16356.18,449,222.47,120,2289.73,6,49.30
Udalguri,51,5812,11626.10,295,465.73,67,95.05,53,95.08,4,3.46,1542,2542.94,1369,2162.18,4389,7447.00,697,429.29,15,270.44,2,24.57
West Karbi Anglong,22,2135,4382.63,105,226.82,1,0.98,51,201.51,0,0,15,46.53,6,5.54,2798,4692.27,403,105.12,7,73.89,1,11.34
