district,Total Branch,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Dibrugarh,181,"5,15,06,274","11,23,137.16",962,556.25,"16,942","7,980.60","12,21,851","15,15,299.65","16,83,803","1,84,754.82","9,75,415","20,283.89"
Dima Hasao,31,"80,03,102","1,50,057.91",70,106.08,"1,520",787.94,"69,599","3,47,786.87","1,63,248","17,854.37","65,025","1,918.41"
Goalpara,72,"2,21,76,365","5,54,491.84",274,"4,887.51","5,020","5,275.09","7,00,968","11,65,957.11","3,70,315","83,260.37","1,29,909","3,629.13"
Golaghat,121,"3,64,23,290","5,67,784.26",883,"2,029.13","5,741","4,494.68","9,11,064","7,10,024.37","9,37,679","90,201.16","3,83,155","8,823.12"
Hailakandi,47,"1,72,35,862","2,90,747.17",449,"1,058.40","1,724",804.92,"3,21,801","2,90,304.88","2,52,933","47,647.52","70,595","1,917.42"
Hojai,59,"3,21,92,469","6,05,910.89",451,7.39,"8,989","6,480.80","7,92,878","9,62,556.71","5,31,539","67,393.44","1,15,546","3,075.77"
Jorhat,134,"3,85,26,667","9,85,505.79",570,472.43,"11,366","6,270.19","8,73,069","9,55,659.65","13,37,440","1,07,947.12","8,48,125","17,238.82"
Kamrup Metro,176,"4,66,15,395","9,54,005.12",500,"4,608.25","12,342","5,653.02","10,98,016","25,09,401.83","10,54,429","1,58,789.29","5,10,347","12,150.26"
Karbi Anglong,66,"1,97,13,961","3,13,954.63",123,"1,820.74","2,101","1,457.04","2,89,397","3,53,281.34","3,27,800","62,853.18","1,86,157","4,689.77"
Karimganj,92,"3,15,91,459","6,73,176.83",372,"1,623.41","5,596","3,050.63","7,68,150","13,17,780.88","6,06,254","60,866.65","1,53,428","4,330.73"
Kokrajhar,55,"1,78,60,713","3,44,052.47",280,"2,966.75","3,947","1,829.01","4,01,680","13,19,012.73","2,61,523","1,23,082.95","2,36,265","6,100.78"
Lakhimpur,92,"3,69,27,266","5,45,329.73",326,"4,662.81","4,534","2,873.66","8,13,172","10,60,850.71","5,44,489","1,34,107.16","2,14,784","5,014.52"
Majuli,16,"49,70,253","64,892.70",72,125.18,"1,182",223.03,"1,68,856","1,96,555.57","1,69,279","6,934.14","25,799",575.82
Morigaon,67,"2,23,05,304","4,70,687.85",598,"6,334.72","4,589","3,396.38","7,77,608","4,27,720.45","5,93,431","1,14,954.96","1,18,248","2,779.15"
Nagaon,154,"4,95,64,539","9,42,010.24",937,"4,323.07","8,167","5,552.81","11,76,641","13,59,942.41","9,78,193","1,93,136.30","4,48,538","11,360.43"
Nalbari,86,"2,10,37,463","3,76,378.95",214,"2,782.23","3,630","2,863.62","5,01,891","6,96,919.70","4,38,429","85,397.03","2,77,271","5,984.42"
Sivasagar,97,"3,16,15,084","4,66,686.63",365,395.74,"6,468","4,340.40","6,94,205","4,32,642.31","9,21,700","78,512.46","6,15,804","13,663.91"
Sonitpur,128,"4,30,83,230","7,01,218.20",230,"1,219.73","11,010","6,314.89","10,29,086","16,62,646.19","10,03,572","1,73,384.55","8,17,103","15,560.14"
South Salmara,13,"37,58,446","1,15,624.73",59,"3,371.28","1,586",237.81,"1,01,792","5,55,776.31","15,484","1,017.30","11,533",436.40
Tamulpur,21,"81,22,463","1,13,493.58",11,0.63,370,52.48,"1,17,470","49,195.51","65,412","2,921.82","76,639","1,733.12"
Tinsukia,149,"3,90,95,532","6,73,746.62","2,699","1,094.22","11,159","7,030.86","10,61,170","14,99,404.50","11,31,143","1,10,730.90","4,54,854","9,253.75"
Udalguri,51,"1,81,14,124","2,74,489.40",771,"1,965.04","2,795",850.15,"3,32,867","6,02,851.30","1,60,109","98,566.17","1,37,783","3,068.17"
West Karbi Anglong,22,"70,19,640","89,946.91",237,132.21,0,0,"55,438","2,518.13","51,846","2,254.74","35,496",893.02
