District,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amt,Agri (PS) Achieved No.,Agri (PS) Achieved Amt,Agri(PS) Achv% Amt,Crop Loan Target No.,Crop Loan Target Amt,Crop Loan Achieved No.,Crop Loan Achieved Amt,Crop Loan Achv% Amt,MSME (PS) Target No.,MSME (PS) Target Amt,MSME (PS) Achieved No.,MSME (PS) Achieved Amt,MSME (PS) Achv% Amt,Other PS Target No.,Other PS Target Amt,Other PS Achieved No.,Other PS Achieved Amt,Other PS Achv% Amt,Total (PS) Target No.,Total (PS) Target Amt,Total (PS) Achieved No.,Total (PS) Achieved Amt,Total(PS) Achv% Amt
Dibrugarh,181,"38,806","69,030.83","32,793","51,805.44",75.05,"23,302","33,557.76","15,474","15,115.23",45.04,"9,860","53,476.67","9,964","1,18,442.16",221.48,"3,070","20,369.55","11,857","10,691.45",52.49,"51,736","1,42,877.05","54,614","1,80,939.05",126.64
Dima Hasao,31,"25,055","37,334.69",810,"1,563.20",4.19,"4,087","5,950.66",156,176.29,2.96,"2,063","6,256.80","1,287","3,435.55",54.91,"1,100","2,481.37",284,247.83,9.99,"28,218","46,072.86","2,381","5,246.58",11.39
Goalpara,72,"67,655","68,386.06","11,907","17,450.22",25.52,"49,951","47,506.87","7,095","8,764.37",18.45,"4,600","14,883.99","3,105","18,468.43",124.08,"5,355","12,892.80","7,707","4,861.79",37.71,"77,610","96,162.85","22,719","40,780.44",42.41
Golaghat,121,"33,212","43,337.84","27,841","36,986.68",85.35,"18,383","21,128.00","12,242","10,570.78",50.03,"8,378","34,121.10","4,630","30,842.84",90.39,"3,943","13,032.80","12,361","7,926.38",60.82,"45,533","90,491.74","44,832","75,755.90",83.72
Hailakandi,47,"14,854","16,029.76","6,415","7,205.49",44.95,"10,800","10,359.37","3,504","3,086.00",29.79,"4,499","15,951.20","2,276","16,884.57",105.85,"2,494","6,452.60","4,255","2,738.07",42.43,"21,847","38,433.56","12,946","26,828.13",69.80
Hojai,59,"20,342","23,461.32","9,528","12,832.74",54.70,"16,150","18,168.00","3,996","6,279.17",34.56,"1,953","7,384.00","3,642","26,587.03",360.06,"2,832","6,713.26","3,946","2,775.06",41.34,"25,127","37,558.58","17,116","42,194.83",112.34
Jorhat,134,"62,758","1,09,083.23","19,867","46,610.38",42.73,"38,643","71,085.78","8,920","7,324.19",10.30,"2,346","33,169.80","5,321","90,463.94",272.73,"5,095","13,275.48","8,768","8,279.18",62.36,"70,199","1,55,528.51","33,956","1,45,353.50",93.46
Kamrup Metro,176,"37,967","73,328.25","41,795","42,279.26",57.66,"21,720","45,355.11","14,681","16,198.79",35.72,"13,351","59,399.55","5,781","59,722.63",100.54,"5,110","13,111.72","17,167","15,636.97",119.26,"56,428","1,45,839.52","64,743","1,17,638.86",80.66
Karbi Anglong,66,"73,723","79,540.65","10,647","11,950.80",15.02,"53,983","53,769.23","4,779","2,922.11",5.43,"1,615","9,286.40","2,970","9,814.81",105.69,"5,663","19,168.37","3,017","2,239.99",11.69,"81,001","1,07,995.42","16,634","24,005.60",22.23
Karimganj,92,"16,033","14,399.15","7,241","10,007.10",69.50,"10,047","9,704.92","2,371","3,777.21",38.92,"6,859","31,029.43","3,709","26,586.35",85.68,"2,985","6,895.14","11,864","7,332.37",106.34,"25,877","52,323.72","22,814","43,925.82",83.95
Kokrajhar,55,"19,118","20,738.00","13,102","19,325.59",93.19,"9,904","8,854.00","6,245","10,714.51",121.01,"4,363","19,147.00","2,420","15,428.46",80.58,"4,253","11,594.00","7,538","5,467.56",47.16,"27,734","51,479.00","23,060","40,221.61",78.13
Lakhimpur,92,"57,555","65,326.19","24,320","26,164.92",40.05,"42,485","46,194.76","13,920","11,259.23",24.37,"4,909","30,792.00","4,860","37,303.61",121.15,"4,274","12,060.21","7,993","6,158.97",51.07,"66,738","1,08,178.40","37,173","69,627.50",64.36
Majuli,16,"18,712","31,186.92","3,505","3,816.49",12.24,"16,178","25,447.76","1,772","2,107.96",8.28,290,"1,779.10",292,"1,805.56",101.49,947,"3,356.46","1,794","1,548.28",46.13,"19,949","36,322.48","5,591","7,170.33",19.74
Morigaon,67,"67,800","53,453.61","17,269","17,518.46",32.77,"50,419","26,365.53","10,650","10,170.12",38.57,"6,152","32,970.09","1,737","17,200.68",52.17,"18,030","21,598.53","3,382","2,936.63",13.60,"91,982","1,08,022.23","22,388","37,655.77",34.86
Nagaon,154,"1,08,585","1,09,913.50","36,265","44,107.80",40.13,"69,757","68,708.95","14,942","15,853.96",23.07,"16,495","52,216.89","6,312","62,266.00",119.24,"21,630","15,755.01","10,801","8,846.75",56.15,"1,46,710","1,77,885.40","53,378","1,15,220.55",64.77
Nalbari,86,"15,204","29,626.00","18,941","24,630.65",83.14,"10,525","13,895.00","6,501","8,770.41",63.12,"9,846","31,487.00","3,453","25,240.52",80.16,"2,470","14,057.00","7,207","5,835.69",41.51,"27,520","75,170.00","29,601","55,706.86",74.11
Sivasagar,97,"38,603","47,521.71","21,851","21,936.21",46.16,"25,375","26,979.99","7,299","7,202.37",26.70,"6,162","38,808.00","5,043","56,987.01",146.84,"2,612","9,240.06","5,293","5,355.16",57.96,"47,377","95,569.77","32,187","84,278.38",88.19
Sonitpur,128,"29,409","34,456.29","25,998","31,574.67",91.64,"19,720","18,051.67","7,796","9,251.06",51.25,"15,204","56,899.68","5,909","67,080.14",117.89,"5,069","19,730.50","11,987","12,818.57",64.97,"49,682","1,11,086.47","43,894","1,11,473.38",100.35
South Salmara,13,"4,064","16,988.75",835,"1,258.03",7.41,621,"11,528.82",482,637.17,5.53,"1,784","2,710.00",290,"1,919.60",70.83,"2,217","5,793.14",106,544.59,9.40,"8,065","25,491.89","1,231","3,722.22",14.60
Tinsukia,149,"39,490","41,553.59","25,374","51,479.41",123.89,"33,090","25,287.70","13,249","14,284.82",56.49,"13,270","89,320.00","9,125","1,08,040.50",120.96,"8,821","18,925.20","10,612","9,508.34",50.24,"61,581","1,49,798.79","45,111","1,69,028.25",112.84
Udalguri,51,"49,746","54,059.00","10,066","11,135.23",20.60,"35,476","36,176.00","5,096","3,748.27",10.36,915,"14,554.00","1,177","5,599.34",38.47,"4,468","10,436.00","3,429","2,650.09",25.39,"55,129","79,049.00","14,672","19,384.66",24.52
West Karbi Anglong,22,"39,220","41,986.70","3,766","4,604.47",10.97,"28,204","29,296.69","2,532","1,671.75",5.71,149,270.55,601,918.56,339.52,"5,101","9,285.41",9,51.27,0.55,"44,470","51,542.66","4,376","5,574.30",10.81
