district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Productio n A/C,Farm Productio n amt,Dairy no,Dairy Amt,Farm Mech No,Farm Mech Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godow n No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC- Agri Disb No.,Total IC- Agri Disb Amt.
Hailakandi,47,90,88.08,0,0.00,194,224.97,2,6.00,87,163.57,16,17.29,0,0.00,0,0.00,857,"1,423.76","1,246","1,923.67"
Hojai,59,57,32.68,0,0.00,388,342.91,"1,053",344.18,36,32.20,173,195.89,0,0.00,0,0.00,973,"1,971.32","2,680","2,919.18"
Jorhat,134,107,41.14,0,0.00,573,510.50,"2,029",893.91,78,113.61,23,43.45,0,0.00,1,3.16,"1,579","6,172.11","4,390","7,777.88"
Kamrup,176,534,377.52,0,0.00,422,378.00,"6,002","2,934.60",433,369.56,170,200.83,0,0.00,2,5.01,"3,667","6,896.11","11,230","11,161.63"
Kamrup Metro,445,132,"1,833.30",0,0.00,"2,947","1,660.17","1,167",789.19,641,"1,106.12","1,485",897.85,1,89.52,3,35.18,"4,476","19,115.27","10,852","25,526.60"
Karbi Anglong,66,90,46.67,0,0.00,46,59.81,473,219.78,21,30.38,15,14.96,0,0.00,0,0.00,232,483.25,877,854.85
Karimganj,92,120,104.90,0,0.00,59,93.37,147,50.84,12,32.50,41,145.78,0,0.00,0,0.00,545,"1,081.12",924,"1,508.51"
Kokrajhar,55,46,23.44,0,0.00,310,243.62,204,56.10,200,181.15,20,52.66,0,0.00,0,0.00,774,"1,975.26","1,554","2,532.23"
Lakhimpur,92,232,287.66,0,0.00,123,184.11,"3,132","1,540.27",97,137.33,36,24.25,1,3.20,0,0.00,"1,446","3,515.15","5,067","5,691.97"
Majuli,16,8,1.80,0,0.00,0,0,0,0,4,14.06,0,0,0,0.00,0,0.00,15,22.71,27,38.57
Morigaon,67,410,218.63,0,0.00,378,314.18,1601,737.53,87,92.10,105,239.92,0,0.00,0,0.00,"1,279","2,808.85","3,860","4,411.21"
Nagaon,154,303,180.45,0,0.00,697,616.95,"6,948","3,393.19",81,93.11,29,81.76,0,0.00,0,0.00,"1,949","2,829.04","10,007","7,194.50"
Nalbari,86,371,110.80,0,0.00,289,259.60,"4,158","2,195.72",343,215.75,32,49.26,0,0.00,2,6.66,"1,008","4,471.81","6,203","7,309.60"
Sivasagar,97,104,58.97,1,1.56,4711,"2,313.36","1,872",778.85,829,703.55,15,17.04,0,0.00,1,4.70,"1,871","3,829.62","9,404","7,707.65"
Sonitpur,128,560,285.14,0,0.00,186,183.35,"4,615","1,853.55",243,173.22,17,8.76,0,0.00,1,0.00,"1,484","3,507.53","7,106","6,011.55"
South Salmara,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,2,1.65,2,1.65
Tamulpur,21,3,1.1,0,0.00,8,4.4,0,0,7,15.8,0,0,0,0.00,0,0.00,29,180.64,47,201.94
Tinsukia,149,409,381.33,0,0.00,768,"1,197.32","3,285","1,331.70",240,447.92,17,22,0,0.00,2,48.95,"1,521","12,549.92","6,242","15,979.14"
Udalguri,51,220,80.05,0,0.00,3,2.34,5,1.8,57,32.69,6,12.5,0,0.00,0,0.00,191,368.74,482,498.12
West Karbi Anglong,22,2,3.20,0,0.00,6,22.01,0,0,0,0,0,0,0,0.00,0,0.00,26,90.62,34,115.83
