District,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C No.,Forestry and wasteland Dev. Amt,Water Resource A/C No.,Water Resource Amt,Farm mechanization A/C No.,Farm mechanization Amt,Plantation & horticulture A/C No.,Plantation & horticulture Amt,Animal Husbandry A/C No.,Animal Husbandry Amt,Fishery A/C No.,Fishery Amt,Farm Credit Others A/C No.,Farm Credit Others Amt,Agri. Infrastructure A/C,Agri. Infrastructure Amt,Ancillary Activities A/C,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Golaghat,121,"12,242","10,570.78",98,79.04,0,0,"3,121","2,072.76",17,45.82,820,"1,941.65",27,48.74,"8,329","11,372.32",53,219.47,"3,134","10,636.10","27,841","36,986.68"
Hailakandi,47,"3,504","3,086.00",0,0,0,0,344,293.95,0,0,323,603.09,13,6.32,"1,372","2,020.45",7,5.1,852,"1,190.58","6,415","7,205.49"
Hojai,59,"3,996","6,279.17",14,10.93,0,0,"1,763","1,056.07",21,17.32,62,64.71,154,191.6,"2,093","2,919.78",27,177.93,"1,398","2,115.23","9,528","12,832.74"
Jorhat,134,"8,920","7,324.19",214,147.56,1,0.3,"2,145","1,063.30",20,25.08,280,561.69,28,23.8,"6,116","9,486.45",18,45.2,"2,125","27,932.81","19,867","46,610.38"
Kamrup Metro,176,"14,681","16,198.79",711,689.35,0,0,"7,670","5,563.96",14,32.86,"1,279","1,835.39",66,184.77,"13,314","13,401.44",179,130.85,"3,881","4,241.85","41,795","42,279.26"
Karbi Anglong,66,"4,779","2,922.11",11,6.13,0,0,569,338.46,60,92.9,704,"1,697.21",36,44.3,"3,696","6,237.95",3,1.1,789,610.64,"10,647","11,950.80"
Karimganj,92,"2,371","3,777.21",115,93.57,0,0,226,119.37,0,0,253,515.60,124,276.21,"2,976","3,624.30",6,16.7,"1,170","1,584.14","7,241","10,007.10"
Kokrajhar,55,"6,245","10,714.51",104,98.36,0,0,912,"1,288.65",12,32.28,283,342.10,37,73.7,"4,167","4,638.33",1,0.9,"1,341","2,136.76","13,102","19,325.59"
Lakhimpur,92,"13,920","11,259.23",3,4.45,0,0,"4,116","2,870.39",18,36.39,612,"1,597.26",53,111.04,"3,806","7,071.74",12,25.8,"1,780","3,188.62","24,320","26,164.92"
Majuli,16,"1,772","2,107.96",-,-,0,0,-,-,0,0,64,234.43,67,15.83,"1,273","1,147.69",0,0,329,310.58,"3,505","3,816.49"
Morigaon,67,"10,650","10,170.12",30,27.12,8,22.32,2186,1582.19,0,0,684,690.22,201,361.25,"2,499","3,547.71",8,40.15,"1,003","1,077.38","17,269","17,518.46"
Nagaon,154,"14,942","15,853.96",85,87.09,0,0,"7,231","3,605.05",14,20.23,954,"1,366.97",668,1834.98,"10,103","16,062.28",56,108.98,"2,212","5,168.26","36,265","44,107.80"
Nalbari,86,"6,501","8,770.41",85,57.76,0,0,"4,874","2,889.56",10,13.99,658,"1,294.83",34,52.49,"5,761","8,403.69",4,8.66,"1,014","3,139.26","18,941","24,630.65"
Sivasagar,97,"7,299","7,202.37",153,103.46,0,0,"2,585","1,331.73",2,2.2,504,576.33,164,127.97,"9,118","7,180.69",52,210.47,"1,974","5,200.99","21,851","21,936.21"
Sonitpur,128,"7,796","9,251.06",119,88.45,0,0,"5,152","2,277.06",36,15.59,"1,018","2,084.84",52,83.86,"9,042","11,120.06",19,33.82,"2,764","6,619.93","25,998","31,574.67"
South Salmara,13,482,637.17,-,-,0,0,-,-,0,0,5,6.62,20,19.36,316,572.36,0,0,12,22.52,835,"1,258.03"
Tamulpur,21,"1,024","1,725.49",0,0,0,0,0,0,0,0,213,438.78,0,0,825,"1,534.69",0,0,188,206.82,"2,250","3,905.78"
Tinsukia,149,"13,249","14,284.82",87,74.24,0,0,"3,715","1,828.21",15,42.5,594,"1,748.32",37,69.17,"5,414","9,428.91",55,1013.28,"2,208","22,989.96","25,374","51,479.41"
Udalguri,51,"5,096","3,748.27",0,0,0,0,14,10.87,1,4,274,588.66,14,17.13,"3,598","5,625.48",146,73.35,923,"1,067.47","10,066","11,135.23"
West Karbi Anglong,22,"2,532","1,671.75",0,0,0,0,1,1.01,0,0,162,407.80,0,0,"1,060","2,495.97",1,0,10,27.94,"3,766","4,604.47"
