district,Total Branch,Sishu O/S No.,Sishu O/S Amt.,Sishu NPA No.,Sishu NPA Amt.,Kishore O/S No.,Kishore O/S Amt.,Kishore NPA No.,Kishore NPA Amt.,Tarun O/S No.,Tarun O/S Amt.,Tarun NPA No.,Tarun NPA Amt.,Total MUDRA O/S No.,Total MUDRA O/S Amt.,Total MUDRA NPA No.,Total MUDRA NPA Amt.,MUDRA NPA Amt.%
Dibrugarh,181,"35,290","5,477.13","8,554","1,353.66","33,129","29,095.80","3,907","3,927.02","2,643","14,157.05",318,"1,591.68","71,062","48,729.98","12,779","6,872.36",14.10
Dima Hasao,31,"1,525",245.45,300,53.42,"1,405","2,133.11",111,150.12,202,"1,166.22",5,23.26,"3,132","3,544.78",416,226.80,6.40
Goalpara,72,"17,641","3,189.78","6,330","1,178.40","16,887","14,962.45","4,453","3,362.23",755,"3,770.37",57,300.68,"35,283","21,922.60","10,840","4,841.31",22.08
Golaghat,121,"24,568","4,263.78","7,062","1,214.34","28,593","21,511.70","3,126","2,359.30","1,495","6,327.94",88,449.46,"54,656","32,103.42","10,276","4,023.10",12.53
Hailakandi,47,"8,404","1,675.05","1,957",395.96,"13,188","10,913.48","3,179","2,519.00",603,"2,804.75",51,211.57,"22,195","15,393.28","5,187","3,126.53",20.31
Hojai,59,"10,229","1,777.20","3,027",606.03,"15,568","13,353.15","3,174","2,654.33","1,853","8,342.73",203,833.78,"27,650","23,473.08","6,404","4,094.14",17.44
Jorhat,134,"27,936","4,180.01","9,998","1,215.27","25,047","21,400.13","2,931","2,399.58","1,839","8,427.94",152,748.50,"54,822","34,008.08","13,081","4,363.35",12.83
Kamrup Metro,176,"53,800","10,068.50","24,154","3,611.70","54,984","41,466.20","12,470","8,858.65","1,958","10,278.07",189,855.97,"1,10,742","61,812.77","36,813","13,326.32",21.56
Karbi Anglong,66,"4,447",778.77,637,105.70,"5,367","6,336.23",315,397.00,432,"2,320.65",30,160.41,"10,246","9,435.65",982,663.11,7.03
Karimganj,92,"23,446","4,723.20","6,740","1,431.13","30,312","21,645.70","8,618","6,773.19","1,287","6,137.90",122,735.50,"55,045","32,506.80","15,480","8,939.82",27.50
Kokrajhar,55,"16,333","3,348.09","1,702",337.53,"12,024","10,223.37","2,235","2,095.07",529,"2,780.36",19,101.74,"28,886","16,351.82","3,956","2,534.34",15.50
Lakhimpur,92,"19,316","3,539.77","5,961","1,356.87","21,367","18,343.79","4,493","3,846.09","1,427","6,818.54",187,937.48,"42,110","28,702.10","10,641","6,140.44",21.39
Majuli,16,"2,389",534.43,485,84.94,"1,046","1,460.67",150,172.75,377,"1,197.77",40,158.23,"3,812","3,192.87",675,415.92,13.03
Morigaon,67,"8,953","1,552.00","2,216",551.49,"16,460","14,769.12","3,426","3,526.04","1,442","6,813.89",216,"1,154.45","26,855","23,135.01","5,858","5,231.98",22.61
Nagaon,154,"36,537","6,472.92","15,558","2,781.70","47,080","37,109.85","10,392","8,597.24","2,689","12,407.32",383,"1,895.37","86,306","55,990.09","26,333","13,274.31",23.71
Nalbari,86,"19,622","3,607.09","9,026","1,428.90","17,085","14,884.74","2,964","2,609.14",789,"4,366.34",78,415.07,"37,496","22,858.17","12,068","4,453.11",19.48
Sivasagar,97,"17,305","2,903.30","3,445",583.38,"22,086","19,316.49","2,207","1,911.67","1,723","7,608.32",86,387.00,"41,114","29,828.11","5,738","2,882.05",9.66
Sonitpur,128,"27,184","4,932.95","10,036","1,572.11","33,667","27,527.62","5,894","4,874.92","2,110","11,181.11",203,"1,029.50","62,961","43,641.68","16,133","7,476.53",17.13
South Salmara,13,235,62.27,103,25.03,799,"1,237.93",242,310.39,118,664.00,13,62.24,"1,152","1,964.20",358,397.66,20.25
Tamulpur,21,"1,605",316.48,266,86.67,"3,769","3,162.37",201,243.09,67,318.47,5,33.76,"5,441","3,797.32",472,363.52,9.57
Tinsukia,149,"21,786","3,745.16","4,895",687.14,"24,030","24,817.75","2,986","3,042.02","2,620","15,327.92",231,"1,348.98","48,436","43,890.83","8,112","5,078.14",11.57
Udalguri,51,"7,635","1,961.72","1,028",281.76,"6,670","6,962.73","1,673","2,121.20",280,"1,709.64",24,91.07,"14,585","10,634.09","2,725","2,494.03",23.45
West Karbi Anglong,22,950,219.27,131,9.23,319,490.96,28,42.66,62,258.43,2,6.52,"1,331",968.66,161,58.41,6.03
