district,Total Branch,Small and Marginal Farmers No,Small and Marginal Farmers Amt,Scheduled Castes No,Scheduled Castes Amt,Scheduled Tribes No,Scheduled Tribes Amt,DRI scheme No,DRI scheme Amt,Self Help Groups No,Self Help Groups Amt,women beneficiaries No,women beneficiaries Amt,Minority communities No,Minority communities Amt,PMJDY No,PMJDY Amt,Others No,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt.
Dima Hasao,31,"2,453","3,122.40",600,418.31,"2,743","5,972.70",17,1.10,"1,394","2,381.05","1,954",992.65,"1,216","2,371.99",161,2.44,875,"1,073.74","11,413","16,336.38"
Goalpara,72,"29,146","19,871.72","2,553","2,360.47","6,821","5,645.13",12,1.24,"10,647","14,599.76","33,206","11,997.17","15,915","22,318.04",287,1.86,"4,414","3,482.87","1,03,001","80,278.26"
Golaghat,121,"67,265","40,404.96","9,031","6,894.70","9,820","8,240.93",23,2.76,"9,287","18,141.38","63,161","18,531.03","6,507","6,606.31","1,037",4.58,"7,544","7,118.59","1,73,675","1,05,945.24"
Hailakandi,47,"19,728","10,930.45","4,762","3,582.26","1,517","1,251.70",4,0.31,"3,064","4,317.22","22,869","7,745.26","16,740","17,836.95",120,1.17,"2,126","2,082.61","70,930","47,747.93"
Hojai,59,"27,584","18,232.86","6,754","5,460.21","3,249","2,766.33",17,1.22,"4,237","6,146.41","25,989","8,804.69","13,525","17,067.36",280,2.92,"5,056","3,521.36","86,691","62,003.36"
Jorhat,134,"47,773","26,577.92","9,284","7,510.04","10,953","8,902.19",60,6.96,"6,744","14,981.13","58,839","17,596.57","3,582","7,832.05",941,7.35,"5,900","5,810.46","1,44,076","89,224.67"
Kamrup,176,"80,525","53,038.83","11,655","7,664.03","8,950","7,116.69",50,3.42,"13,095","23,051.02","89,421","28,000.13","23,733","28,175.21",571,2.36,"9,192","7,734.27","2,37,192","1,54,785.96"
Kamrup Metro,445,"37,674","35,160.86","11,000","12,954.85","10,848","19,792.67",360,51.40,"10,561","7,490.38","66,745","22,264.38","18,152","64,838.74","1,974",22.86,"7,380","13,039.44","1,64,694","1,75,615.58"
Karbi Anglong,66,"16,601","11,833.88",766,"1,279.27","8,572","15,135.10",11,1.15,"7,406","15,737.53","13,437","4,870.39","1,615","2,158.20",174,0.55,"4,235","1,746.10","52,817","52,762.17"
Karimganj,92,"28,298","17,079.32","13,030","7,484.93","2,417","1,803.59",42,3.86,"4,550","5,786.43","56,017","17,517.16","16,346","20,665.95",384,2.18,"3,446","3,095.73","1,24,530","73,439.15"
Kokrajhar,55,"21,276","19,761.57","2,682","2,290.89","12,745","17,725.01",11,0.79,"4,479","7,007.51","27,992","8,922.63","9,460","8,138.31",118,"1,984.09","3,928","5,163.37","82,691","70,994.17"
Lakhimpur,92,"76,467","51,047.79","8,357","7,509.22","16,230","19,760.89",11,0.68,"10,336","15,773.53","47,549","17,344.44","10,775","13,483.14",105,1.22,"11,281","8,160.83","1,81,111","1,33,081.74"
Majuli,16,"8,704","9,024.50",606,649.84,"2,750","2,497.73",3,0.40,"1,176","2,371.52",857,402.42,21,76.02,86,0.72,"1,161","1,278.21","15,364","16,301.36"
Morigaon,67,"48,850","31,686.47","8,002","5,542.68","10,816","8,126.95",101,9.88,"7,344","9,375.42","34,823","10,687.67","17,768","20,031.45","1,920",4.92,"4,964","3,430.79","1,34,588","88,896.23"
Nagaon,154,"1,00,683","57,125.83","16,380","11,262.82","9,150","7,091.32",75,6.37,"14,832","25,212.72","1,07,002","34,300.59","51,892","55,674.95","1,726",7.23,"11,916","11,546.82","3,13,656","2,02,228.65"
Nalbari,86,"48,293","28,587.70","4,565","3,300.21","2,499","2,809.48",29,10.14,"11,211","17,679.99","44,741","12,365.19","10,577","12,917.87",488,2.03,"4,032","3,982.46","1,26,435","81,655.07"
Sivasagar,97,"46,758","22,983.71","5,119","4,782.73","3,585","3,512.34",62,4.96,"4,926","7,843.00","55,510","16,445.42","13,195","13,733.46","1,032",9.06,"5,071","4,764.53","1,35,258","74,079.21"
Sonitpur,128,"45,815","31,794.53","8,185","6,383.63","8,056","7,628.19",27,2.55,"10,431","17,982.35","59,806","19,028.45","10,351","15,678.48",935,4.16,"12,132","13,012.44","1,55,738","1,11,514.78"
South Salmara,13,"2,464","1,368.17",27,74.51,31,35.17,5,0.50,853,"1,515.51",226,104.02,"2,399","5,789.70",19,0.08,446,933.28,"6,470","9,820.94"
Tamulpur,21,"6,770","5,156.04",849,928.11,"2,536","3,567.65",-,-,"2,494","4,838.26","6,759","2,082.19",459,859.07,14,0.02,"1,439",585.24,"21,320","18,016.58"
Tinsukia,149,"52,384","40,805.63","4,245","4,118.95","5,060","6,378.34",94,9.52,"8,603","16,033.35","43,708","13,237.98","1,859","7,977.73","1,379",4.65,"4,816","5,915.15","1,22,148","94,481.30"
Udalguri,51,"35,369","24,143.64","1,494","1,607.64","21,065","23,652.39",3,2.66,"5,130","9,354.82","18,321","6,526.86","7,290","9,890.85",84,1.64,"5,313","5,034.14","94,069","80,214.64"
West Karbi Anglong,22,"3,381","2,844.27",131,196.17,"2,081","3,663.86",0,0,"2,795","4,683.80","3,373","1,243.60",211,434.30,5,0.10,94,32.60,"12,071","13,098.70"
